scale,version,n,raw_rmse,raw_bias,mean_loss_rmse,centered_mean_rmse,mean_loss_spearman
1m,v1,256,0.34145471219901924,0.054002965823843486,0.24397577436926138,0.23792405965204427,0.49202191577019905
1m,v2,256,0.2701792457048059,0.04636179268008989,0.20300272021890733,0.19763777117687883,0.7152845330739298
60m,v1,256,1.609270783082249,1.5133737545121133,1.526464598504188,0.19948445964651296,0.4632803559166857
60m,v2,256,1.595903245636194,1.5057325813683597,1.5173019803167431,0.1870152209818375,0.6822950045777064
1B,v1,64,2.9820043373612557,2.911448171039337,2.9130913269201346,0.09782957798647592,0.662179487179487
1B,v2,64,2.702111047518439,2.618575902709615,2.621775983133705,0.12949728755937348,0.5666666666666665
