scale,version,n,centered_slope,slope_ci_low,slope_ci_high,intercept,mean_loss_spearman
1m,v1,256,0.9001835487354815,0.7151812101534651,1.0850341106744996,0.4786460590377626,0.49202191577019905
1m,v2,256,0.8216185890068929,0.729503959304808,0.9256659474218737,0.9041691997276127,0.7152845330739298
60m,v1,256,0.6583446513314195,0.5078056010143007,0.8195549000487309,0.3097965345698874,0.4632803559166857
60m,v2,256,0.6093094310241867,0.5251737983680503,0.7066880705775279,0.5761182806996605,0.6822950045777064
1B,v1,64,0.2851466261846959,0.1811934991259313,0.39807032715969837,0.7607668013650628,0.662179487179487
1B,v2,64,0.18217688497901952,0.12524660407947194,0.24113139159835237,1.343078819569628,0.5666666666666665
