subset,window_quarters,end_quarter,included_quarters,metric,n,value,n_min_1,n_min_3,n_min_5,n_min_10
inherited_C2_aligned_cutoff,2,2024Q3,2024Q2|2024Q3,p95,153,37.33056575526412,True,True,True,True
inherited_C2_aligned_cutoff,2,2024Q3,2024Q2|2024Q3,top3,153,44.7878360044866,True,True,True,True
inherited_C2_aligned_cutoff,2,2024Q4,2024Q3|2024Q4,p90,166,39.72905512306491,True,True,True,True
inherited_C2_aligned_cutoff,2,2024Q4,2024Q3|2024Q4,p95,166,41.52702369129027,True,True,True,True
inherited_C2_aligned_cutoff,2,2024Q4,2024Q3|2024Q4,top3,166,47.65853461142634,True,True,True,True
inherited_C2_aligned_cutoff,2,2025Q1,2024Q4|2025Q1,p90,178,40.03137769269784,True,True,True,True
inherited_C2_aligned_cutoff,2,2025Q1,2024Q4|2025Q1,p95,178,41.245459422128754,True,True,True,True
inherited_C2_aligned_cutoff,2,2025Q1,2024Q4|2025Q1,top3,178,47.65853461142634,True,True,True,True
inherited_C2_aligned_cutoff,3,2024Q4,2024Q2|2024Q3|2024Q4,p90,237,38.331994352316016,True,True,True,True
inherited_C2_aligned_cutoff,3,2024Q4,2024Q2|2024Q3|2024Q4,p95,237,41.24176690811548,True,True,True,True
inherited_C2_aligned_cutoff,3,2024Q4,2024Q2|2024Q3|2024Q4,top3,237,47.65853461142634,True,True,True,True
inherited_C2_aligned_cutoff,3,2025Q1,2024Q3|2024Q4|2025Q1,p90,260,39.86024345383493,True,True,True,True
inherited_C2_aligned_cutoff,3,2025Q1,2024Q3|2024Q4|2025Q1,p95,260,41.21724195937631,True,True,True,True
inherited_C2_aligned_cutoff,3,2025Q1,2024Q3|2024Q4|2025Q1,top3,260,47.65853461142634,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q2,2024Q2,p90,71,29.25746822860332,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q2,2024Q2,p95,71,31.480415201344506,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q2,2024Q2,top3,71,37.46957568896942,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q3,2024Q3,p90,82,35.532429421705984,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q3,2024Q3,p95,82,38.420134244023664,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q3,2024Q3,top3,82,44.0263010089645,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q4,2024Q4,p90,84,41.16534748433419,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q4,2024Q4,p95,84,42.18943387429477,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2024Q4,2024Q4,top3,84,47.65853461142634,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2025Q1,2025Q1,p90,183,40.607775364053396,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2025Q1,2025Q1,p95,183,41.48556014537647,True,True,True,True
inherited_C2_full_legacy_cutoff,1,2025Q1,2025Q1,top3,183,42.43441039535589,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2024Q3,2024Q2|2024Q3,p90,153,33.10489608296549,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2024Q3,2024Q2|2024Q3,p95,153,37.33056575526412,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2024Q3,2024Q2|2024Q3,top3,153,44.7878360044866,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2024Q4,2024Q3|2024Q4,p90,166,39.72905512306491,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2024Q4,2024Q3|2024Q4,p95,166,41.52702369129027,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2024Q4,2024Q3|2024Q4,top3,166,47.65853461142634,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2025Q1,2024Q4|2025Q1,p90,267,40.75126901175654,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2025Q1,2024Q4|2025Q1,p95,267,41.57506513336569,True,True,True,True
inherited_C2_full_legacy_cutoff,2,2025Q1,2024Q4|2025Q1,top3,267,47.65853461142634,True,True,True,True
inherited_C2_full_legacy_cutoff,3,2024Q4,2024Q2|2024Q3|2024Q4,p90,237,38.331994352316016,True,True,True,True
inherited_C2_full_legacy_cutoff,3,2024Q4,2024Q2|2024Q3|2024Q4,p95,237,41.24176690811548,True,True,True,True
inherited_C2_full_legacy_cutoff,3,2024Q4,2024Q2|2024Q3|2024Q4,top3,237,47.65853461142634,True,True,True,True
inherited_C2_full_legacy_cutoff,3,2025Q1,2024Q3|2024Q4|2025Q1,p90,349,40.229805729445076,True,True,True,True
inherited_C2_full_legacy_cutoff,3,2025Q1,2024Q3|2024Q4|2025Q1,p95,349,41.536452535651826,True,True,True,True
inherited_C2_full_legacy_cutoff,3,2025Q1,2024Q3|2024Q4|2025Q1,top3,349,47.65853461142634,True,True,True,True
