subset,window_quarters,metric,n_min,first_quarter,last_quarter,n_first,n_last,first_value,last_value,change,same_span_as_strict_original
inherited_C2_full_legacy_cutoff,1,p95,3,2024Q2,2025Q1,71,183,31.480415201344506,41.48556014537647,10.005144944031962,True
inherited_C2_full_legacy_cutoff,1,p95,5,2024Q2,2025Q1,71,183,31.480415201344506,41.48556014537647,10.005144944031962,True
inherited_C2_full_legacy_cutoff,1,p95,10,2024Q2,2025Q1,71,183,31.480415201344506,41.48556014537647,10.005144944031962,True
inherited_C2_full_legacy_cutoff,1,top3,1,2024Q2,2025Q1,71,183,37.46957568896942,42.43441039535589,4.964834706386469,True
inherited_C2_full_legacy_cutoff,1,top3,3,2024Q2,2025Q1,71,183,37.46957568896942,42.43441039535589,4.964834706386469,True
inherited_C2_full_legacy_cutoff,1,top3,5,2024Q2,2025Q1,71,183,37.46957568896942,42.43441039535589,4.964834706386469,True
inherited_C2_full_legacy_cutoff,1,top3,10,2024Q2,2025Q1,71,183,37.46957568896942,42.43441039535589,4.964834706386469,True
inherited_C2_full_legacy_cutoff,2,p90,1,2024Q3,2025Q1,153,267,33.10489608296549,40.75126901175654,7.6463729287910525,False
inherited_C2_full_legacy_cutoff,2,p90,3,2024Q3,2025Q1,153,267,33.10489608296549,40.75126901175654,7.6463729287910525,False
inherited_C2_full_legacy_cutoff,2,p90,5,2024Q3,2025Q1,153,267,33.10489608296549,40.75126901175654,7.6463729287910525,False
inherited_C2_full_legacy_cutoff,2,p90,10,2024Q3,2025Q1,153,267,33.10489608296549,40.75126901175654,7.6463729287910525,False
inherited_C2_full_legacy_cutoff,2,p95,1,2024Q3,2025Q1,153,267,37.33056575526412,41.57506513336569,4.2444993781015725,False
inherited_C2_full_legacy_cutoff,2,p95,3,2024Q3,2025Q1,153,267,37.33056575526412,41.57506513336569,4.2444993781015725,False
inherited_C2_full_legacy_cutoff,2,p95,5,2024Q3,2025Q1,153,267,37.33056575526412,41.57506513336569,4.2444993781015725,False
inherited_C2_full_legacy_cutoff,2,p95,10,2024Q3,2025Q1,153,267,37.33056575526412,41.57506513336569,4.2444993781015725,False
inherited_C2_full_legacy_cutoff,2,top3,1,2024Q3,2025Q1,153,267,44.7878360044866,47.65853461142634,2.87069860693974,False
inherited_C2_full_legacy_cutoff,2,top3,3,2024Q3,2025Q1,153,267,44.7878360044866,47.65853461142634,2.87069860693974,False
inherited_C2_full_legacy_cutoff,2,top3,5,2024Q3,2025Q1,153,267,44.7878360044866,47.65853461142634,2.87069860693974,False
