subset,window_quarters,metric,n_min,origin_quarter,target_quarter,origin_n,target_n,prediction,actual,error,abs_error
strict_W1,1,p90,1,2024Q2,2024Q3,22,16,32.003295825697364,36.78866062796827,-4.785364802270905,4.785364802270905
strict_W1,1,p90,3,2024Q2,2024Q3,22,16,32.003295825697364,36.78866062796827,-4.785364802270905,4.785364802270905
strict_W1,1,p90,5,2024Q2,2024Q3,22,16,32.003295825697364,36.78866062796827,-4.785364802270905,4.785364802270905
strict_W1,1,p90,10,2024Q2,2024Q3,22,16,32.003295825697364,36.78866062796827,-4.785364802270905,4.785364802270905
strict_W1,1,p90,1,2024Q3,2024Q4,16,5,36.78866062796827,31.505483600623982,5.283177027344287,5.283177027344287
strict_W1,1,p90,3,2024Q3,2024Q4,16,5,36.78866062796827,31.505483600623982,5.283177027344287,5.283177027344287
strict_W1,1,p90,5,2024Q3,2024Q4,16,5,36.78866062796827,31.505483600623982,5.283177027344287,5.283177027344287
strict_W1,1,p90,1,2024Q4,2025Q1,5,2,31.505483600623982,30.08623735677516,1.4192462438488214,1.4192462438488214
strict_W1,1,p95,1,2024Q2,2024Q3,22,16,33.01831747225294,38.11626137199371,-5.09794389974077,5.09794389974077
strict_W1,1,p95,3,2024Q2,2024Q3,22,16,33.01831747225294,38.11626137199371,-5.09794389974077,5.09794389974077
strict_W1,1,p95,5,2024Q2,2024Q3,22,16,33.01831747225294,38.11626137199371,-5.09794389974077,5.09794389974077
strict_W1,1,p95,10,2024Q2,2024Q3,22,16,33.01831747225294,38.11626137199371,-5.09794389974077,5.09794389974077
strict_W1,1,p95,1,2024Q3,2024Q4,16,5,38.11626137199371,32.38392346908129,5.73233790291242,5.73233790291242
strict_W1,1,p95,3,2024Q3,2024Q4,16,5,38.11626137199371,32.38392346908129,5.73233790291242,5.73233790291242
strict_W1,1,p95,5,2024Q3,2024Q4,16,5,38.11626137199371,32.38392346908129,5.73233790291242,5.73233790291242
strict_W1,1,p95,1,2024Q4,2025Q1,5,2,32.38392346908129,30.222182584060665,2.161740885020624,2.161740885020624
strict_W1,1,top3,1,2024Q2,2024Q3,22,16,33.58669576607503,37.339488276157454,-3.752792510082422,3.752792510082422
strict_W1,1,top3,3,2024Q2,2024Q3,22,16,33.58669576607503,37.339488276157454,-3.752792510082422,3.752792510082422
strict_W1,1,top3,5,2024Q2,2024Q3,22,16,33.58669576607503,37.339488276157454,-3.752792510082422,3.752792510082422
strict_W1,1,top3,10,2024Q2,2024Q3,22,16,33.58669576607503,37.339488276157454,-3.752792510082422,3.752792510082422
strict_W1,1,top3,1,2024Q3,2024Q4,16,5,37.339488276157454,26.04053216657182,11.298956109585635,11.298956109585635
strict_W1,1,top3,3,2024Q3,2024Q4,16,5,37.339488276157454,26.04053216657182,11.298956109585635,11.298956109585635
strict_W1,1,top3,5,2024Q3,2024Q4,16,5,37.339488276157454,26.04053216657182,11.298956109585635,11.298956109585635
strict_W1,1,top3,1,2024Q4,2025Q1,5,2,26.04053216657182,28.998675538491128,-2.9581433719193093,2.9581433719193093
strict_W1,2,p90,1,2024Q3,2024Q4,38,5,33.77833756615978,31.505483600623982,2.272853965535795,2.272853965535795
strict_W1,2,p90,3,2024Q3,2024Q4,38,5,33.77833756615978,31.505483600623982,2.272853965535795,2.272853965535795
strict_W1,2,p90,5,2024Q3,2024Q4,38,5,33.77833756615978,31.505483600623982,2.272853965535795,2.272853965535795
strict_W1,2,p90,1,2024Q4,2025Q1,21,2,35.56935395079021,30.08623735677516,5.483116594015048,5.483116594015048
strict_W1,2,p95,1,2024Q3,2024Q4,38,5,35.935145953943625,32.38392346908129,3.551222484862336,3.551222484862336
strict_W1,2,p95,3,2024Q3,2024Q4,38,5,35.935145953943625,32.38392346908129,3.551222484862336,3.551222484862336
strict_W1,2,p95,5,2024Q3,2024Q4,38,5,35.935145953943625,32.38392346908129,3.551222484862336,3.551222484862336
strict_W1,2,p95,1,2024Q4,2025Q1,21,2,38.00796730514634,30.222182584060665,7.7857847210856725,7.7857847210856725
strict_W1,2,top3,1,2024Q3,2024Q4,38,5,37.339488276157454,26.04053216657182,11.298956109585635,11.298956109585635
strict_W1,2,top3,3,2024Q3,2024Q4,38,5,37.339488276157454,26.04053216657182,11.298956109585635,11.298956109585635
strict_W1,2,top3,5,2024Q3,2024Q4,38,5,37.339488276157454,26.04053216657182,11.298956109585635,11.298956109585635
strict_W1,2,top3,1,2024Q4,2025Q1,21,2,37.339488276157454,28.998675538491128,8.340812737666326,8.340812737666326
strict_W1,3,p90,1,2024Q4,2025Q1,43,2,33.22170103757875,30.08623735677516,3.1354636808035856,3.1354636808035856
strict_W1,3,p95,1,2024Q4,2025Q1,43,2,35.5580856489586,30.222182584060665,5.335903064897938,5.335903064897938
strict_W1,3,top3,1,2024Q4,2025Q1,43,2,37.339488276157454,28.998675538491128,8.340812737666326,8.340812737666326
license_W2,1,p90,1,2024Q2,2024Q3,12,9,25.58523208810486,33.57162456766141,-7.9863924795565495,7.9863924795565495
license_W2,1,p90,3,2024Q2,2024Q3,12,9,25.58523208810486,33.57162456766141,-7.9863924795565495,7.9863924795565495
license_W2,1,p90,5,2024Q2,2024Q3,12,9,25.58523208810486,33.57162456766141,-7.9863924795565495,7.9863924795565495
license_W2,1,p90,1,2024Q3,2024Q4,9,4,33.57162456766141,31.944703534852636,1.6269210328087738,1.6269210328087738
license_W2,1,p90,3,2024Q3,2024Q4,9,4,33.57162456766141,31.944703534852636,1.6269210328087738,1.6269210328087738
license_W2,1,p90,1,2024Q4,2025Q1,4,2,31.944703534852636,30.08623735677516,1.8584661780774745,1.8584661780774745
license_W2,1,p95,1,2024Q2,2024Q3,12,9,28.982145133843897,35.78979593640387,-6.807650802559973,6.807650802559973
license_W2,1,p95,3,2024Q2,2024Q3,12,9,28.982145133843897,35.78979593640387,-6.807650802559973,6.807650802559973
license_W2,1,p95,5,2024Q2,2024Q3,12,9,28.982145133843897,35.78979593640387,-6.807650802559973,6.807650802559973
license_W2,1,p95,1,2024Q3,2024Q4,9,4,35.78979593640387,32.60353343619562,3.186262500208251,3.186262500208251
license_W2,1,p95,3,2024Q3,2024Q4,9,4,35.78979593640387,32.60353343619562,3.186262500208251,3.186262500208251
license_W2,1,p95,1,2024Q4,2025Q1,4,2,32.60353343619562,30.222182584060665,2.381350852134954,2.381350852134954
license_W2,1,top3,1,2024Q2,2024Q3,12,9,27.913139721481045,34.15560012754988,-6.242460406068837,6.242460406068837
license_W2,1,top3,3,2024Q2,2024Q3,12,9,27.913139721481045,34.15560012754988,-6.242460406068837,6.242460406068837
license_W2,1,top3,5,2024Q2,2024Q3,12,9,27.913139721481045,34.15560012754988,-6.242460406068837,6.242460406068837
