candidate,quantile,origin,target,train_n,target_n,prediction,actual,abs_error,alpha
quarterly_persistence,0.9,2024Q3,2024Q4,38,5,36.78866062796827,31.505483600623982,5.283177027344287,
linear_quantile_regression,0.9,2024Q3,2024Q4,38,5,35.45667093247413,31.505483600623982,3.95118733185015,0.1
quarterly_persistence,0.95,2024Q3,2024Q4,38,5,38.11626137199371,32.38392346908129,5.73233790291242,
linear_quantile_regression,0.95,2024Q3,2024Q4,38,5,38.00796730514634,32.38392346908129,5.624043836065049,0.1
quarterly_persistence,0.9,2024Q4,2025Q1,43,2,31.505483600623982,30.08623735677516,1.4192462438488214,
linear_quantile_regression,0.9,2024Q4,2025Q1,43,2,33.2623633375386,30.08623735677516,3.176125980763441,0.1
quarterly_persistence,0.95,2024Q4,2025Q1,43,2,32.38392346908129,30.222182584060665,2.161740885020624,
linear_quantile_regression,0.95,2024Q4,2025Q1,43,2,35.56935395079021,30.222182584060665,5.347171366729544,0.1
