budget,cap,policy,mean_free_regret_improvement,relative_improvement,bootstrap_fraction_improved,material_improvement,extrapolation_non_worse,fully_feasible,upgrade_eligible,decision
1e+24,3x,balanced_mean_regret,0,0,0,False,True,True,False,REJECT
1e+24,3x,cvar90_regret,0,0,0,False,True,True,False,REJECT
1e+24,3x,minimax_regret,0,0,0,False,True,True,False,CHAMPION
1e+24,3x,nominal_shared,0,0,0,False,True,True,False,REJECT
1e+24,3x,worst_case_loss,0,0,0,False,True,True,False,REJECT
1e+24,5x,balanced_mean_regret,0.0374595953353,0.700035206689,1,True,False,True,False,REJECT
1e+24,5x,cvar90_regret,0.0374595953351,0.700035206684,1,True,False,True,False,REJECT
1e+24,5x,minimax_regret,0.0374595953351,0.700035206684,1,True,False,True,False,REJECT
1e+24,5x,nominal_shared,0.0374595953353,0.700035206688,1,True,False,True,False,REJECT
1e+24,5x,worst_case_loss,0.037459595324,0.700035206476,1,True,False,True,False,REJECT
1e+24,free,balanced_mean_regret,0.0411987774034,0.769912071839,1,True,False,True,False,REJECT
1e+24,free,cvar90_regret,0.0411987784003,0.76991209047,1,True,False,True,False,REJECT
1e+24,free,minimax_regret,0.0411987804505,0.769912128783,1,True,False,True,False,REJECT
1e+24,free,nominal_shared,0.0411987806491,0.769912132495,1,True,False,True,False,REJECT
1e+24,free,worst_case_loss,0.0411987792979,0.769912107245,1,True,False,True,False,REJECT
