budget,split,bootstrap_replicate,cost_model,Q0,L_ctx,cap,oracle_loss,oracle_N_B,oracle_D_B,oracle_Q_B,oracle_budget_ratio
1e+19,heldout,12,exponential,0.2,32768,3x,3.32597255314,0.261857708186,2.25085788146,0.796337674207,1
1e+19,heldout,12,exponential,0.2,32768,5x,3.32597255314,0.261857658619,2.25085828601,0.796337649493,1
1e+19,heldout,12,exponential,0.2,32768,free,3.32597255314,0.261857653049,2.25085956323,0.796337305831,1
1e+19,heldout,12,exponential,0.8,2048,1x,3.08848424643,0.249215549722,6.26028256304,0.8,1
1e+19,heldout,12,exponential,0.8,2048,2x,3.08848424643,0.249215549797,6.26028256114,0.8,1
1e+19,heldout,12,exponential,0.8,2048,3x,3.08848424643,0.249215554394,6.26028244565,0.8,1
1e+19,heldout,12,exponential,0.8,2048,5x,3.08848424643,0.249215529144,6.26028307993,0.8,1
1e+19,heldout,12,exponential,0.8,2048,free,3.08848424643,0.249215529324,6.26028307542,0.8,1
1e+19,heldout,12,exponential,0.8,32768,1x,3.23547004296,0.182870697817,4.35599719507,0.8,1
1e+19,heldout,12,exponential,0.8,32768,2x,3.23547004296,0.182870697088,4.35599721243,0.8,1
1e+19,heldout,12,exponential,0.8,32768,3x,3.23547004296,0.182870701657,4.3559971036,0.8,1
1e+19,heldout,12,exponential,0.8,32768,5x,3.23547004296,0.182870697468,4.35599720337,0.8,1
1e+19,heldout,12,exponential,0.8,32768,free,3.23547004296,0.182870692546,4.35599732062,0.8,1
1e+19,heldout,12,power,0.2,2048,1x,3.23803099911,0.391947096845,2.9358514008,0.65170679929,1
1e+19,heldout,12,power,0.2,2048,2x,3.23803099911,0.391947123659,2.93585098774,0.651706854814,1
1e+19,heldout,12,power,0.2,2048,3x,3.23803099911,0.391947012191,2.93585260071,0.651706645831,1
1e+19,heldout,12,power,0.2,2048,5x,3.23803099911,0.391947159553,2.93585130572,0.651706746613,1
