budget,cap,policy,mean_improvement_vs_3x_minimax,improvement_ci05,improvement_ci95,bootstrap_fraction_improved,cluster_count,note
1e+22,free,balanced_mean_regret,2.75692757512e-09,1.86651997377e-09,3.57090782684e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,free,cvar90_regret,3.04127153091e-09,2.03840150685e-09,3.98024112373e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,free,minimax_regret,-2.63437420026e-12,-3.26028278449e-12,-1.94695555974e-12,0,12,same-source parameter bootstrap; not external validation
1e+22,free,nominal_shared,3.8026177022e-09,2.09032052963e-09,5.37886432617e-09,1,12,same-source parameter bootstrap; not external validation
1e+22,free,worst_case_loss,3.64207464187e-09,2.11759352831e-09,4.98075987861e-09,1,12,same-source parameter bootstrap; not external validation
1e+24,1x,balanced_mean_regret,-0.113979647466,-0.113987763255,-0.113972783575,0,12,same-source parameter bootstrap; not external validation
1e+24,1x,cvar90_regret,-0.113979647466,-0.11398780934,-0.113972707177,0,12,same-source parameter bootstrap; not external validation
1e+24,1x,minimax_regret,-0.113979647466,-0.113987686062,-0.113972417037,0,12,same-source parameter bootstrap; not external validation
1e+24,1x,nominal_shared,-0.113979647466,-0.113988104371,-0.113972405551,0,12,same-source parameter bootstrap; not external validation
1e+24,1x,worst_case_loss,-0.113979647466,-0.11398776049,-0.1139723615,0,12,same-source parameter bootstrap; not external validation
1e+24,2x,balanced_mean_regret,-0.0376967746891,-0.037699826354,-0.0376940410276,0,12,same-source parameter bootstrap; not external validation
1e+24,2x,cvar90_regret,-0.0376967746891,-0.0377000782618,-0.0376941063148,0,12,same-source parameter bootstrap; not external validation
1e+24,2x,minimax_regret,-0.0376967746891,-0.0376999542692,-0.0376941180372,0,12,same-source parameter bootstrap; not external validation
1e+24,2x,nominal_shared,-0.0376967746891,-0.0376998091822,-0.0376941062334,0,12,same-source parameter bootstrap; not external validation
1e+24,2x,worst_case_loss,-0.0376967746891,-0.0377000403293,-0.0376940176426,0,12,same-source parameter bootstrap; not external validation
1e+24,3x,balanced_mean_regret,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+24,3x,cvar90_regret,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+24,3x,minimax_regret,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+24,3x,nominal_shared,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+24,3x,worst_case_loss,0,0,0,0,12,same-source parameter bootstrap; not external validation
1e+24,5x,balanced_mean_regret,0.0374595953353,0.037456907216,0.0374627476654,1,12,same-source parameter bootstrap; not external validation
1e+24,5x,cvar90_regret,0.0374595953351,0.0374569090877,0.0374626849225,1,12,same-source parameter bootstrap; not external validation
1e+24,5x,minimax_regret,0.0374595953351,0.037456822519,0.0374626072967,1,12,same-source parameter bootstrap; not external validation
1e+24,5x,nominal_shared,0.0374595953353,0.0374567800029,0.0374626607478,1,12,same-source parameter bootstrap; not external validation
1e+24,5x,worst_case_loss,0.037459595324,0.0374567415191,0.0374626926654,1,12,same-source parameter bootstrap; not external validation
1e+24,free,balanced_mean_regret,0.0411987774034,0.0411949388907,0.0412024732399,1,12,same-source parameter bootstrap; not external validation
1e+24,free,cvar90_regret,0.0411987784003,0.0411951193032,0.0412026850202,1,12,same-source parameter bootstrap; not external validation
1e+24,free,minimax_regret,0.0411987804505,0.0411951057423,0.0412024478643,1,12,same-source parameter bootstrap; not external validation
1e+24,free,nominal_shared,0.0411987806491,0.0411952395843,0.0412024838129,1,12,same-source parameter bootstrap; not external validation
1e+24,free,worst_case_loss,0.0411987792979,0.0411949820993,0.0412026720771,1,12,same-source parameter bootstrap; not external validation
