kind,n,families,oof_rmse,oof_mae,fold_rmse_mean,fold_rmse_sd,fold_rmse_min,fold_rmse_max,high_n,high_rmse,medium_n,medium_rmse
isotonic,75,23,11.451301462623118,9.074753278857873,10.670070943100397,3.151509533844105,7.529653239816453,15.544949180610143,7,10.971166071689264,68,11.49958918337986
clipped_linear,75,23,11.70362623676243,9.646474549111332,10.638885333987673,3.695693763058079,7.082298043892387,16.82504770601216,7,12.357209593580412,68,11.634261414637152
probit,75,23,11.824997204698949,9.508159594368498,10.861782640361316,3.587129868728051,7.226935562257078,16.573667890429007,7,12.12831718527882,68,11.793330226550687
logistic,75,23,11.86412981770644,9.4963126293145,10.91242381443297,3.583408770681231,7.265334625689166,16.56516967569879,7,12.132345525131914,68,11.836174342980982
log_loss_logistic,75,23,11.9727676869373,9.506960338425724,11.030773397139681,3.607977063184767,7.373788079282714,16.625472436830098,7,12.074575240317383,68,11.9622383097347
