kind,improvement_rmse,bootstrap_low95,bootstrap_high95,p_bootstrap_improvement
clipped_linear,0.16050358094400963,-0.23544133456714247,1.1117550133465157,0.654
isotonic,0.41282835508332205,-0.9145226285511731,1.0443068344324806,0.784
probit,0.03913261300749049,-0.010381010836653637,0.1545731554441516,0.8693333333333333
log_loss_logistic,-0.10863786923085961,-0.30661917975690556,0.00577651263239896,0.033
