method,rank_spearman_vs_baseline,mean_absolute_sample_difference,range_of_domain_means
Q_baseline,1.0,0.0,0.1897080606686279
Q_critic,0.9285714285714288,0.027928504796161883,0.18551334675199904
Q_robust,0.9642857142857145,0.0323419071680943,0.1991299847912722
Q_penalty,1.0,0.03684840895286071,0.20072943226928652
Q_hard,0.9642857142857145,0.009714539424729253,0.19024004637082303
