model,alpha,cv_rmse,test_1m_rmse,mapped_domains,test_60m_rmse,test_1B_rmse
ALR_only,0.1,0.3938057329076123,,6,,
ALR_only,1.0,0.3937210256372719,0.3414547121990193,6,1.609270783082249,2.9820043373612557
ALR_only,10.0,0.39485901931701206,,6,,
ALR_only,100.0,0.4686591746066259,,6,,
ALR+mapped_Q,0.1,0.3902960171757658,,6,,
ALR+mapped_Q,1.0,0.3902042302473153,0.3373952504996246,6,1.6070192519754884,2.9847285189134927
ALR+mapped_Q,10.0,0.39145528144460406,,6,,
ALR+mapped_Q,100.0,0.46122907087149956,,6,,
