budget,N_B,D_B,Q_B,mu_N,mu_D,mu_Q,mu_Q_one_sided,relative_N_D_gap,Q_boundary,KKT_Q_satisfied
1e+19,0.311384923873,3.95550272052,0.724121163537,2.36240297735e-20,2.36240291249e-20,2.3624030836890813e-20,2.36240308369e-20,2.74527391496e-08,interior,True
1e+22,5.43315455833,245.591189004,1,7.43925362623e-24,7.43925387534e-24,not_applicable,5.12755209498e-23,3.34851742048e-08,upper,True
1e+24,39.56184334,3656.99670841,1,3.49346980589e-26,3.49347004562e-26,not_applicable,2.49606019605e-24,6.86229128062e-08,upper,True
