context_scenario,L_ctx,Q0,cost_model,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
short,2048,0.6,exponential,1e+19,0.319770340127,4.11669891772,0.718581277684,3.1681727903,1e+19,7.89838927873e+18,1.56241401317e+18,5.39196708095e+17,0.789838927873,0.156241401317,0.0539196708095,1,1.7763568394e-14,False,not_applicable,False,False,False,False,False,False
short,2048,0.6,exponential,1e+22,5.60550797132,252.542028181,1,2.15053333739,1e+22,8.49375811238e+21,9.26401333812e+20,5.79840553805e+20,0.849375811238,0.0926401333812,0.0579840553805,1,0,False,not_applicable,False,False,False,False,False,True
short,2048,0.6,exponential,1e+24,40.7055588749,3779.65152084,1,1.91387169553,1e+24,9.23116965049e+23,1.3864916804e+22,6.30181181473e+22,0.923116965049,0.013864916804,0.0630181181473,1,3.8635761257e-14,False,not_applicable,False,False,False,False,False,True
medium,4096,0.6,exponential,1e+19,0.311384923873,3.95550272052,0.724121163537,3.18042337194,1e+19,7.39010348105e+18,1.60090105701e+18,1.00899546195e+18,0.739010348105,0.160090105701,0.100899546195,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,False
medium,4096,0.6,exponential,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,7.1054273576e-15,False,not_applicable,False,False,False,False,False,True
medium,4096,0.6,exponential,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,3.8635761257e-14,False,not_applicable,False,False,False,False,False,True
long,32768,0.6,exponential,1e+19,0.237043920131,2.72930282301,0.776320199202,3.30578118681,1e+19,3.88178784234e+18,1.8782646904e+18,4.23994746726e+18,0.388178784234,0.18782646904,0.423994746726,1,1.86517468137e-13,False,not_applicable,False,False,False,False,False,False
long,32768,0.6,exponential,1e+22,4.01079659938,185.122648765,1,2.19822900467,1e+22,4.4549357408e+21,6.79086447389e+20,4.86597781181e+21,0.44549357408,0.0679086447389,0.486597781181,1,9.05941988094e-14,False,not_applicable,False,False,False,False,False,True
long,32768,0.6,exponential,1e+24,29.9019663868,2638.20479298,1,1.93806414901,1e+24,4.73325066248e+23,9.67774139096e+21,5.16997192361e+23,0.473325066248,0.00967774139096,0.516997192361,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
