cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
exponential,0.6,4096,1e+19,0.311384923873,3.95550272052,0.724121163537,3.18042337194,1e+19,7.39010348105e+18,1.60090105701e+18,1.00899546195e+18,0.739010348105,0.160090105701,0.100899546195,1,4.07229805433e-13,True,-4.07229805433e-13,False,False,False,False,False,False
exponential,0.6,4096,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,1.95399252334e-14,True,-3.54436480166e-11,False,False,False,False,False,True
exponential,0.6,4096,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,1.43796086149e-12,True,-1.31064048503e-11,False,False,False,False,False,True
power,0.6,4096,1e+19,0.270978940038,5.41166659277,0.6,3.19250000008,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,1.34559030585e-13,True,-4.80993023189e-12,False,False,False,False,True,False
power,0.6,4096,1e+22,5.52771216204,237.83150122,1,2.15593895419,1e+22,7.88798449087e+21,1.03504269331e+21,1.07697281582e+21,0.788798449087,0.103504269331,0.107697281582,1,7.86481990644e-13,True,-6.48991971275e-12,False,False,False,False,False,True
power,0.6,4096,1e+24,39.6747006477,3637.66368899,1,1.91608357578,1e+24,8.65939307507e+23,1.58311123745e+22,1.18229580118e+23,0.865939307507,0.0158311123745,0.118229580118,1,1.13242748512e-14,True,-7.55950857467e-12,False,False,False,False,False,True
logarithmic,0.6,4096,1e+19,0.321421777099,3.23017278048,1,3.10378787518,1e+19,6.22948725264e+18,2.9199800878e+18,8.50532659561e+17,0.622948725264,0.29199800878,0.0850532659561,1,3.69038133385e-13,True,-5.24735810359e-12,False,False,False,False,False,True
logarithmic,0.6,4096,1e+22,5.01848231325,284.68936465,1,2.149385632,1e+22,8.57225124758e+21,2.57350715419e+20,1.170398037e+21,0.857225124758,0.0257350715419,0.1170398037,1,7.16759984698e-13,True,-7.22089055216e-13,False,False,False,False,False,True
logarithmic,0.6,4096,1e+24,39.0993855641,3737.89156351,1,1.91564045446,1e+24,8.7689558063e+23,3.37894276174e+21,1.19725476609e+23,0.87689558063,0.00337894276174,0.119725476609,1,1.57651669497e-14,True,-2.77233791479e-11,False,False,False,False,False,True
