model,horizon_quarters,targets,mae,rmse,min_target_n
existing_direct_time,1,2,6.476634874175316,7.96121205545162,2
existing_direct_time,2,1,18.79954431088908,18.79954431088908,2
half_damped_time,1,2,5.197948633763856,6.100745788513753,2
half_damped_time,2,1,13.268073168150902,13.268073168150902,2
persistence,1,2,3.9470393939665183,4.33202155391314,2
persistence,2,1,7.8940787879330365,7.8940787879330365,2
