kind,rmse_improvement,family_bootstrap_low95,family_bootstrap_high95,bootstrap_fraction_positive
monotone_kink,0.014743007502568517,-0.4644565787820915,0.4139168383319761,0.5582
loss_plus_scale,1.3042011481439602,-0.8050590494061539,2.781822349432832,0.9224
fixed_loss_plus_scale,0.2876775201069375,-0.4888898756646987,0.9797198979141954,0.8032
scale_only_diagnostic,1.4128522101109837,-0.9035330822488657,2.8842931928586184,0.9194
gompertz,0.09561775743706491,-0.03371478421731124,0.38437313666043926,0.8276
