horizon_quarters,horizon_months,origin_quarter,target_quarter,model,prediction,actual,error,future_leakage
1,3,2024Q3,2024Q4,direct_time,43.49025575221157,32.38392346908129,11.106332283130278,False
1,3,2024Q4,2025Q1,direct_time,32.06912004928102,30.222182584060665,1.8469374652203534,False
2,6,2024Q3,2025Q1,direct_time,49.021726894949744,30.222182584060665,18.79954431088908,False
