model,horizon_quarters,horizon_months,origin_quarter,target_quarter,available_train_quarters,origin_n,target_n,target_n_ge_5,prediction,actual,error,abs_error,future_leakage
direct_time,1,3,2024Q3,2024Q4,2,16,5,True,43.49025575221157,32.38392346908129,11.106332283130278,11.106332283130278,False
persistence,1,3,2024Q3,2024Q4,2,16,5,True,38.11626137199371,32.38392346908129,5.73233790291242,5.73233790291242,False
direct_time,1,3,2024Q4,2025Q1,3,5,2,False,32.06912004928102,30.222182584060665,1.8469374652203534,1.8469374652203534,False
persistence,1,3,2024Q4,2025Q1,3,5,2,False,32.38392346908129,30.222182584060665,2.161740885020624,2.161740885020624,False
direct_time,2,6,2024Q3,2025Q1,2,16,2,False,49.021726894949744,30.222182584060665,18.79954431088908,18.79954431088908,False
persistence,2,6,2024Q3,2025Q1,2,16,2,False,38.11626137199371,30.222182584060665,7.894078787933044,7.894078787933044,False
