model,dataset,n,rmse,mae,bic,parameters
classic_current,B1_fit,1176,0.000146496089926,0.000105231913024,-20729.3104295,"[1.6897975629182522, 0.3539803206661416, 0.3399765818956815, 1.2403055835508001, 0.279878128543591]"
generalized_ND_new,B1_fit,1176,0.000146495750665,0.000105231029172,-20722.2460022,"[1.6897956041275346, 0.35398310288450063, 0.339975544180824, 1.2403106835533277, 0.2798775041930287, 1.0000067207583971]"
