family,N_params_B,D_tokens_B,val_loss,is_converged,model_name,FLOPs,publication_date,organization,accessibility,country,predicted,residual,scale_band
OPT-IML (175B),175,2,2.77,1,OPT-IML (175B),4.3e+23,2022-12-22,Meta AI,Open weights (non-commercial),United States of America,2.772538712,0.002538711835,100-300B
BlenderBot 3,175,1.3,2.9007,1,BlenderBot 3,4.3e+23,2022-08-10,"McGill University,Meta AI,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms)",Open weights (non-commercial),"Canada,United States of America,Canada",2.903441278,0.002741278398,100-300B
OPT-175B,175,180,2.0402,1,OPT-175B,4.3e+23,2022-05-02,Meta AI,Open weights (non-commercial),United States of America,2.040900642,0.0007006418919,100-300B
BLUUMI,176,38,2.1978,1,BLUUMI,,2023-11-03,"University of Turku,Hugging Face",Open weights (restricted use),"Finland,United States of America",2.198936631,0.001136631176,100-300B
BLOOMZ-176B,176,20,2.2857,1,BLOOMZ-176B,,2022-11-03,Hugging Face,Open weights (unrestricted),United States of America,2.287118496,0.001418496241,100-300B
XuanYuan 2.0,176.2,366,1.9879,1,XuanYuan 2.0,,2023-05-19,Du Xiaoman,Open weights (restricted use),China,1.98852635,0.0006263499868,100-300B
BLOOM-176B,176.2,379,1.9856,1,BLOOM-176B,3.657e+23,2022-07-11,"Hugging Face,BigScience",Open weights (restricted use),"United States of America,France",1.986215472,0.0006154718438,100-300B
Jurassic-1-Jumbo,178,300,2.0013,1,Jurassic-1-Jumbo,3.7e+23,2021-08-11,AI21 Labs,API access,Israel,2.001921072,0.0006210722366,100-300B
Falcon-180B,180,3500,1.8765,1,Falcon-180B,3.76e+24,2023-09-06,Technology Innovation Institute,Open weights (restricted use),United Arab Emirates,1.876728489,0.0002284886281,100-300B
SenseChat,180,3601.9,1.8754,1,SenseChat,3.89e+24,2023-04-10,SenseTime,API access,Hong Kong,1.875717591,0.0003175914529,100-300B
Mi:dm 200B,200,1000,1.9272,1,Mi:dm 200B,1.2e+24,2023-10-31,KT,API access,Korea (Republic of),1.927663568,0.0004635684029,100-300B
Amazon Titan,200,4000,1.8697,1,Amazon Titan,4.8e+24,2023-09-28,Amazon,API access,United States of America,1.869961989,0.000261988713,100-300B
HyperCLOVA 204B,204,560,1.9584,1,HyperCLOVA 204B,2e+23,2021-09-10,NAVER,Hosted access (no API),Korea (Republic of),1.958884791,0.0004847909864,100-300B
PanGu-α,207,41.2,2.1845,1,PanGu-α,5.112e+22,2021-04-25,Huawei Noah's Ark Lab,Unreleased,China,2.185635274,0.001135273814,100-300B
Qwen3-235B-A22B-Thinking (Jul 2025),235,36000,1.8108,1,Qwen3-235B-A22B-Thinking (Jul 2025),4.752e+24,2025-07-25,Alibaba,Open weights (unrestricted),China,1.810930363,0.0001303634418,100-300B
Qwen3-235B-A22B (Jul 2025),235,36000,1.8108,1,Qwen3-235B-A22B (Jul 2025),4.752e+24,2025-07-25,Alibaba,Open weights (unrestricted),China,1.810930363,0.0001303634418,100-300B
Qwen3-235B-A22B,235,36000,1.8108,1,Qwen3-235B-A22B,4.752e+24,2025-04-29,Alibaba,Open weights (unrestricted),China,1.810930363,0.0001303634418,100-300B
K-EXAONE,236,11000,1.8366,1,K-EXAONE,1.52e+24,2025-12-31,LG AI Research,API access,Korea (Republic of),1.83674949,0.0001494898371,100-300B
DeepSeek-V2.5,236,1263.6,1.9127,1,DeepSeek-V2.5,1.789e+24,2024-09-06,DeepSeek,Open weights (restricted use),China,1.913093177,0.0003931767599,100-300B
