folder,file,model_name,result_date,tasks
AALF_FuseChat-Llama-3.1-8B-SFT-preview,detailed_results\AALF_FuseChat-Llama-3.1-8B-SFT-preview\results_2024-11-21T13-45-14.605333.json,AALF/FuseChat-Llama-3.1-8B-SFT-preview,1732195094.5380006,44
AALF_gemma-2-27b-it-SimPO-37K,detailed_results\AALF_gemma-2-27b-it-SimPO-37K\results_2024-09-01T02-53-57.422115.json,AALF/gemma-2-27b-it-SimPO-37K,1725135424.4943056,44
AALF_gemma-2-27b-it-SimPO-37K-100steps,detailed_results\AALF_gemma-2-27b-it-SimPO-37K-100steps\results_2024-09-27T18-43-00.611233.json,AALF/gemma-2-27b-it-SimPO-37K-100steps,1727439104.5212975,44
Aashraf995_Creative-7B-nerd,detailed_results\Aashraf995_Creative-7B-nerd\results_2024-12-18T03-17-53.359820.json,Aashraf995/Creative-7B-nerd,1734490337.144224,44
Aashraf995_Gemma-Evo-10B,detailed_results\Aashraf995_Gemma-Evo-10B\results_2024-12-18T04-35-43.057636.json,Aashraf995/Gemma-Evo-10B,1734491077.0916376,44
Aashraf995_Qwen-Evo-7B,detailed_results\Aashraf995_Qwen-Evo-7B\results_2024-12-18T03-20-24.239014.json,Aashraf995/Qwen-Evo-7B,1734490523.1207943,44
Aashraf995_QwenStock-14B,detailed_results\Aashraf995_QwenStock-14B\results_2024-12-18T04-15-47.313168.json,Aashraf995/QwenStock-14B,1734490889.5313075,44
abacusai_bigyi-15b,detailed_results\abacusai_bigyi-15b\results_2024-09-18T06-37-06.680694.json,abacusai/bigyi-15b,1726636977.0638754,44
abacusai_Liberated-Qwen1.5-14B,detailed_results\abacusai_Liberated-Qwen1.5-14B\results_2024-09-05T12-34-33.126455.json,abacusai/Liberated-Qwen1.5-14B,1725534803.4558828,44
AbacusResearch_Jallabi-34B,detailed_results\AbacusResearch_Jallabi-34B\results_2024-07-30T05-45-04.496708.json,AbacusResearch/Jallabi-34B,1722310482.1765687,44
abideen_MedPhi-4-14B-v1,detailed_results\abideen_MedPhi-4-14B-v1\results_2025-01-13T23-03-42.989646.json,abideen/MedPhi-4-14B-v1,1736807259.7140195,44
AELLM_gemma-2-aeria-infinity-9b,detailed_results\AELLM_gemma-2-aeria-infinity-9b\results_2024-10-09T11-48-07.657590.json,AELLM/gemma-2-aeria-infinity-9b,1728467339.2603097,44
AELLM_gemma-2-lyco-infinity-9b,detailed_results\AELLM_gemma-2-lyco-infinity-9b\results_2024-10-10T12-58-52.149709.json,AELLM/gemma-2-lyco-infinity-9b,1728558043.4691238,44
agentlans_Llama3.1-8B-drill,detailed_results\agentlans_Llama3.1-8B-drill\results_2024-12-27T23-35-02.383650.json,agentlans/Llama3.1-8B-drill,1735340864.2377996,44
agentlans_Llama3.1-Daredevilish,detailed_results\agentlans_Llama3.1-Daredevilish\results_2025-01-23T10-50-23.011610.json,agentlans/Llama3.1-Daredevilish,1737627763.4663694,44
agentlans_Qwen2.5-0.5B-Instruct-CrashCourse-dropout,detailed_results\agentlans_Qwen2.5-0.5B-Instruct-CrashCourse-dropout\results_2025-01-01T06-48-50.303492.json,agentlans/Qwen2.5-0.5B-Instruct-CrashCourse-dropout,1735713045.4315488,44
AGI-0_Art-v0-3B,detailed_results\AGI-0_Art-v0-3B\results_2025-01-18T12-23-40.344038.json,AGI-0/Art-v0-3B,1737201211.2398553,44
AGI-0_Artificium-llama3.1-8B-001,detailed_results\AGI-0_Artificium-llama3.1-8B-001\results_2024-09-11T00-52-31.543315.json,AGI-0/Artificium-llama3.1-8B-001,1726013727.3846564,44
AGI-0_smartllama3.1-8B-001,detailed_results\AGI-0_smartllama3.1-8B-001\results_2024-11-25T22-15-59.091478.json,AGI-0/smartllama3.1-8B-001,1732571255.836228,44
Ahdoot_StructuredThinker-v0.3-MoreStructure,detailed_results\Ahdoot_StructuredThinker-v0.3-MoreStructure\results_2025-01-01T03-42-11.275880.json,Ahdoot/StructuredThinker-v0.3-MoreStructure,1735701165.7037365,44
Ahdoot_Test_StealthThinker,detailed_results\Ahdoot_Test_StealthThinker\results_2025-01-06T23-06-48.071737.json,Ahdoot/Test_StealthThinker,1736202914.7016983,44
