model,quarters,slope_log_per_year,annual_multiplier,bic,break_quarter,prior_slope_log_per_year
single_loglinear,15,1.301022727323662,3.6730512772234887,-7.116644529622017,,
recent_2023_2024,8,1.9823178722395176,7.259550209038324,,,
piecewise,15,2.2638903972634927,9.620443805713016,-4.215340891416297,2023Q4,1.072693865128049
