horizon_months,scenario,growth_log_per_year,base_compute,future_compute,forecast_origin_date,target_date
12,continuation,1.9823178722395176,3.4346589999999997e+24,2.49340794614254e+25,2025-01-31,2026-01-31
12,moderate_slowdown,0.9911589361197588,3.4346589999999997e+24,9.254191505955551e+24,2025-01-31,2026-01-31
12,strong_slowdown,0.4955794680598794,3.4346589999999997e+24,5.637818030377867e+24,2025-01-31,2026-01-31
24,continuation,1.9823178722395176,3.4346589999999997e+24,1.8101020176636807e+26,2025-01-31,2027-01-31
24,moderate_slowdown,0.9911589361197588,3.4346589999999997e+24,2.49340794614254e+25,2025-01-31,2027-01-31
24,strong_slowdown,0.4955794680598794,3.4346589999999997e+24,9.254191505955551e+24,2025-01-31,2027-01-31
