sample_rule,model,horizon_months,targets,mae,rmse,min_target_n
all,direct_time,3,2,6.476634874175316,7.96121205545162,2
all,direct_time,6,1,18.79954431088908,18.79954431088908,2
all,persistence,3,2,3.947039393966522,4.332021553913144,2
all,persistence,6,1,7.894078787933044,7.894078787933044,2
target_n_ge_5,direct_time,3,1,11.106332283130278,11.106332283130278,5
target_n_ge_5,persistence,3,1,5.73233790291242,5.73233790291242,5
