budget,bootstrap_replicate,cost_model,Q0,L_ctx,optimum_loss
1e+19,184,power,0.8,2048,3.09003905134
1e+19,184,power,0.8,32768,3.23742043424
1e+19,184,logarithmic,0.2,2048,3.20238024429
1e+19,184,logarithmic,0.2,32768,3.31573647724
1e+19,184,logarithmic,0.8,2048,3.04688007179
1e+19,184,logarithmic,0.8,32768,3.17965087769
1e+19,199,exponential,0.2,2048,3.19507070951
1e+19,199,exponential,0.2,32768,3.32623049678
1e+19,199,exponential,0.8,2048,3.08873842104
1e+19,199,exponential,0.8,32768,3.23553820207
1e+19,199,power,0.2,2048,3.23778182688
1e+19,199,power,0.2,32768,3.37047447728
1e+19,199,power,0.8,2048,3.08873842104
1e+19,199,power,0.8,32768,3.23553820207
1e+19,199,logarithmic,0.2,2048,3.20242856209
1e+19,199,logarithmic,0.2,32768,3.31578724375
1e+19,199,logarithmic,0.8,2048,3.04692316535
1e+19,199,logarithmic,0.8,32768,3.17969680694
1e+22,8,exponential,0.2,2048,2.1511554987
1e+22,8,exponential,0.2,32768,2.19873122399
1e+22,8,exponential,0.8,2048,2.14893109436
1e+22,8,exponential,0.8,32768,2.1969568606
1e+22,8,power,0.2,2048,2.15295106736
1e+22,8,power,0.2,32768,2.20017685884
1e+22,8,power,0.8,2048,2.14918588542
1e+22,8,power,0.8,32768,2.19715912528
1e+22,8,logarithmic,0.2,2048,2.14850502409
1e+22,8,logarithmic,0.2,32768,2.19661921321
1e+22,8,logarithmic,0.8,2048,2.14404638618
1e+22,8,logarithmic,0.8,32768,2.19313349491
1e+22,12,exponential,0.2,2048,2.15115655117
1e+22,12,exponential,0.2,32768,2.19872436284
1e+22,12,exponential,0.8,2048,2.1489329242
1e+22,12,exponential,0.8,32768,2.1969505885
1e+22,12,power,0.2,2048,2.15295151509
1e+22,12,power,0.2,32768,2.20016953217
1e+22,12,power,0.8,2048,2.14918762454
1e+22,12,power,0.8,32768,2.197152785
1e+22,12,logarithmic,0.2,2048,2.14850700666
1e+22,12,logarithmic,0.2,32768,2.19661305553
1e+22,12,logarithmic,0.8,2048,2.14405005132
