split,budget,policy,bootstrap_replicate,cost_model,Q0,L_ctx,loss,oracle_loss,regret,feasible,cost_ratio
heldout,1e+19,mean_regret,12,exponential,0.2,2048,3.37589886502,3.19481537155,0.181083493473,True,0.540547488477
heldout,1e+19,mean_regret,12,exponential,0.2,32768,3.37589886502,3.32597255314,0.04992631188,True,0.850918756236
heldout,1e+19,mean_regret,12,exponential,0.8,2048,3.37589886502,3.08848424643,0.2874146186,True,0.347376287468
heldout,1e+19,mean_regret,12,exponential,0.8,32768,3.37589886502,3.23547004296,0.14042882206,True,0.657747555226
heldout,1e+19,mean_regret,12,power,0.2,2048,3.37589886502,3.23803099911,0.137867865919,True,0.689628732237
heldout,1e+19,mean_regret,12,power,0.2,32768,3.37589886502,3.37058159711,0.00531726791649,True,0.999999999996
heldout,1e+19,mean_regret,12,power,0.8,2048,3.37589886502,3.08848424643,0.2874146186,True,0.356209451575
heldout,1e+19,mean_regret,12,power,0.8,32768,3.37589886502,3.23547004296,0.14042882206,True,0.666580719334
heldout,1e+19,mean_regret,12,logarithmic,0.2,2048,3.37589886502,3.20240079902,0.17349806601,True,0.689628732241
heldout,1e+19,mean_regret,12,logarithmic,0.2,32768,3.37589886502,3.31575901637,0.0601398486535,True,1
heldout,1e+19,mean_regret,12,logarithmic,0.8,2048,3.37589886502,3.04689185631,0.329007008711,True,0.330512537129
heldout,1e+19,mean_regret,12,logarithmic,0.8,32768,3.37589886502,3.17966469195,0.19623417307,True,0.640883804888
heldout,1e+19,mean_regret,13,exponential,0.2,2048,3.38284532017,3.20215116904,0.180694151125,True,0.540547488477
heldout,1e+19,mean_regret,13,exponential,0.2,32768,3.38284532017,3.33316277249,0.0496825476788,True,0.850918756236
heldout,1e+19,mean_regret,13,exponential,0.8,2048,3.38284532017,3.09567192621,0.287173393957,True,0.347376287468
heldout,1e+19,mean_regret,13,exponential,0.8,32768,3.38284532017,3.24276292458,0.140082395593,True,0.657747555226
heldout,1e+19,mean_regret,13,power,0.2,2048,3.38284532017,3.24522428367,0.1376210365,True,0.689628732237
heldout,1e+19,mean_regret,13,power,0.2,32768,3.38284532017,3.37799023577,0.00485508439608,True,0.999999999996
heldout,1e+19,mean_regret,13,power,0.8,2048,3.38284532017,3.09567192621,0.287173393957,True,0.356209451575
