budget,cap,policy,split,bootstrap_replicate,cost_model,Q0,L_ctx,N_B,D_B,Q_B,loss,cap_oracle_loss,free_oracle_loss,within_cap_regret,free_regret,feasible,cost_ratio
1e+19,1x,nominal_shared,train,172,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.18932272813,3.18932272813,0.181926582269,0.181926582269,True,0.540502736107
1e+19,1x,nominal_shared,train,172,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.32088135884,3.32088135884,0.0503679515591,0.0503679515591,True,0.851141378715
1e+19,1x,nominal_shared,train,172,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.08348301832,3.08348301832,0.287766292072,0.287766292072,True,0.347619996946
1e+19,1x,nominal_shared,train,172,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.23032063376,3.23032063376,0.140928676636,0.140928676636,True,0.658258639554
1e+19,1x,nominal_shared,train,172,power,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.23165924128,3.23165924128,0.139590069117,0.139590069117,True,0.689361357392
1e+19,1x,nominal_shared,train,172,power,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.36465941453,3.36465941453,0.00658989586776,0.00658989586776,True,1
1e+19,1x,nominal_shared,train,172,power,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.08348301832,3.08348301832,0.287766292072,0.287766292072,True,0.356439970523
1e+19,1x,nominal_shared,train,172,power,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.23032063376,3.23032063376,0.140928676636,0.140928676636,True,0.667078613131
1e+19,1x,nominal_shared,train,172,logarithmic,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.20242703911,3.20242703911,0.168822271288,0.168822271288,True,0.689361357391
1e+19,1x,nominal_shared,train,172,logarithmic,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.31578999252,3.31578999252,0.0554593178766,0.0554593178766,True,1
1e+19,1x,nominal_shared,train,172,logarithmic,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.04694716017,3.04694716017,0.324302150222,0.324302150222,True,0.330781429181
1e+19,1x,nominal_shared,train,172,logarithmic,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.3712493104,3.17972920977,3.17972920977,0.191520100628,0.191520100628,True,0.641420071789
1e+19,1x,nominal_shared,train,124,exponential,0.2,2048,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.2002867932,3.2002867932,0.180689630967,0.180689630967,True,0.540502736107
1e+19,1x,nominal_shared,train,124,exponential,0.2,32768,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.33120553043,3.33120553043,0.0497708937351,0.0497708937351,True,0.851141378715
1e+19,1x,nominal_shared,train,124,exponential,0.8,2048,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.09371067363,3.09371067363,0.287265750536,0.287265750536,True,0.347619996946
1e+19,1x,nominal_shared,train,124,exponential,0.8,32768,0.309808083445,1.63196758269,0.818705344162,3.38097642416,3.24067751943,3.24067751943,0.140298904729,0.140298904729,True,0.658258639554
