budget,cap,policy,N_B,D_B,Q_B,training_objective,local_direction_improvement,global_candidate_gap
1e+24,3x,worst_case_loss,35.897475,899.679,1,1.97942515256,0,0
1e+24,5x,nominal_shared,52.7269093563,1499.46499997,1,1.94193934095,0,0
1e+24,5x,minimax_regret,52.7269093544,1499.465,1,0.00386653286695,0,0
1e+24,5x,balanced_mean_regret,52.7269093551,1499.465,0.999999999999,0.00198066119007,1.59576345193e-13,0
1e+24,5x,cvar90_regret,52.7269093544,1499.465,1,0.00386653286695,0,0
1e+24,5x,worst_case_loss,52.7269093357,1499.465,1,1.9419695899,0,0
1e+24,free,nominal_shared,30.0214879288,2618.69393358,1,1.93819746494,0,0
1e+24,free,minimax_regret,30.0203133451,2618.79505391,1,0.0247580017432,0,0
1e+24,free,balanced_mean_regret,30.0105853885,2619.6328375,1,0.0123117888975,0,0
1e+24,free,cvar90_regret,30.0130186446,2619.42323222,1,0.0246839658306,0,0
1e+24,free,worst_case_loss,30.0156363719,2619.1977737,1,1.93822534531,0,0
