model,source,protocol,n,rmse,mae,bias,spearman
classic,B2,zero_shot_raw,1029,1.24308486658,1.17844181249,-1.17844181249,0.788102268652
classic,B4,zero_shot_raw,57,0.292666677546,0.227263293268,-0.221008532664,0.982981645456
classic,B5,zero_shot_raw,44,0.197595074037,0.170721531462,-0.0205698631478,0.958807569572
interaction,B2,zero_shot_raw,1029,1.24308466699,1.17844157074,-1.17844157074,0.788102268652
interaction,B4,zero_shot_raw,57,0.292665682867,0.227262053185,-0.221006868878,0.982981645456
interaction,B5,zero_shot_raw,44,0.197595893033,0.17072204187,-0.0205686519246,0.958807569572
broken_N,B2,zero_shot_raw,1029,1.24308257485,1.17843939557,-1.17843939557,0.788099157264
broken_N,B4,zero_shot_raw,57,0.292666033993,0.22726494524,-0.221019074758,0.982981645456
broken_N,B5,zero_shot_raw,44,0.19757068138,0.17071769816,-0.0206067597262,0.958807569572
