dataset,version,n_mixtures,mean_loss_spearman,centered_slope,slope_ci_low,slope_ci_high,mean_loss_bias,evidence_status
test_1m,v1,256,0.49202191577019905,0.9001835487354815,0.7151812101534651,1.0850341106744996,0.05400296582384356,retrospective_test_diagnostic_not_new_blind_validation
test_1m,v2,256,0.7152845330739298,0.8216185890068931,0.7295039593048083,0.925665947421874,0.046361792680089914,retrospective_test_diagnostic_not_new_blind_validation
test_60m,v1,256,0.4632803559166857,0.6583446513314195,0.5078056010143007,0.8195549000487309,1.5133737545121135,retrospective_test_diagnostic_not_new_blind_validation
test_60m,v2,256,0.6822950045777064,0.6093094310241868,0.5251737983680504,0.7066880705775278,1.5057325813683597,retrospective_test_diagnostic_not_new_blind_validation
test_1B,v1,64,0.662179487179487,0.2851466261846959,0.1811934991259313,0.39807032715969837,2.9114481710393365,retrospective_test_diagnostic_not_new_blind_validation
test_1B,v2,64,0.5666666666666665,0.18217688497901946,0.12524660407947186,0.2411313915983523,2.6185759027096145,retrospective_test_diagnostic_not_new_blind_validation
