outer_fold,n,v2_rmse,v3_rmse,selected_spec
1,103,0.3044283891040219,0.2645017709211736,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
2,103,0.3795829521911419,0.27006277255945804,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 4}"
3,102,0.31078860756798715,0.234472383413778,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
4,102,0.3593595563742431,0.2550276369439902,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
5,102,0.3085289276717185,0.23453490158635537,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""n_knots"": 6}"
