outer_fold,eps_mult,n_knots,alpha,inner_rmse,selected
1,0.25,4,1.0,0.2600701418568949,False
1,0.25,4,10.0,0.2616681223052721,False
1,0.25,4,100.0,0.2870961498080225,False
1,0.25,6,1.0,0.2712936080070438,False
1,0.25,6,10.0,0.25822058629385625,True
1,0.25,6,100.0,0.2738358584878541,False
1,0.5,4,1.0,0.26846555243364867,False
1,0.5,4,10.0,0.27032361929554943,False
1,0.5,4,100.0,0.29488212285041315,False
1,0.5,6,1.0,0.28274790441567244,False
1,0.5,6,10.0,0.26807083652691244,False
1,0.5,6,100.0,0.281336577945919,False
2,0.25,4,1.0,0.2548834107192398,True
2,0.25,4,10.0,0.25779521471909894,False
2,0.25,4,100.0,0.279716393196104,False
2,0.25,6,1.0,0.26881642560834496,False
2,0.25,6,10.0,0.2578310857782472,False
2,0.25,6,100.0,0.2686907529447836,False
2,0.5,4,1.0,0.2631003054867584,False
2,0.5,4,10.0,0.2663387706910776,False
2,0.5,4,100.0,0.2877677249218023,False
2,0.5,6,1.0,0.27855875453813217,False
2,0.5,6,10.0,0.2672006211872106,False
2,0.5,6,100.0,0.27641562307492334,False
3,0.25,4,1.0,0.2705485662876811,False
3,0.25,4,10.0,0.2733388273276529,False
3,0.25,4,100.0,0.29573860328531143,False
3,0.25,6,1.0,0.2730561915511251,False
3,0.25,6,10.0,0.26625330664966806,True
3,0.25,6,100.0,0.28293080511811347,False
3,0.5,4,1.0,0.27824777871219347,False
3,0.5,4,10.0,0.2816299855702586,False
3,0.5,4,100.0,0.30383351206054454,False
3,0.5,6,1.0,0.28119450685088315,False
3,0.5,6,10.0,0.27429189152774286,False
3,0.5,6,100.0,0.2902014737401041,False
4,0.25,4,1.0,0.2624722913865162,False
4,0.25,4,10.0,0.26450207640401907,False
4,0.25,4,100.0,0.28703283886862124,False
4,0.25,6,1.0,0.2714822581271329,False
4,0.25,6,10.0,0.2619174554005845,True
4,0.25,6,100.0,0.27603545393030915,False
4,0.5,4,1.0,0.2707445844274324,False
4,0.5,4,10.0,0.2736516374988995,False
4,0.5,4,100.0,0.29609619632344464,False
4,0.5,6,1.0,0.28197539129936694,False
4,0.5,6,10.0,0.2716115312490023,False
4,0.5,6,100.0,0.28388140811274964,False
5,0.25,4,1.0,0.2760471465098579,False
5,0.25,4,10.0,0.2753290908431705,False
5,0.25,4,100.0,0.2914112498669105,False
5,0.25,6,1.0,0.28209888574474956,False
5,0.25,6,10.0,0.2730189204358232,True
5,0.25,6,100.0,0.2823463208786901,False
5,0.5,4,1.0,0.28626701892960643,False
5,0.5,4,10.0,0.2856838592214679,False
5,0.5,4,100.0,0.3001675110963597,False
5,0.5,6,1.0,0.2933474174034007,False
5,0.5,6,10.0,0.283972130839991,False
5,0.5,6,100.0,0.2908355219875179,False
