domain,A1_n,extended_total_n,extended_nonoverlap_n,A1_mean_Q,nonoverlap_mean_Q,difference_nonoverlap_minus_A1
arxiv,1419,17523,16104,0.7646787201897518,0.7615908572916686,-0.00308786289808316
github,10000,203752,193752,0.5749706595211239,0.5740726504250949,-0.0008980090960289955
