domain,subset,source,overlap_with_A1_n,n,Q_mean,Q_ci_low,Q_ci_high,conflict_rate,conflict_ci_low,conflict_ci_high,bootstrap_draws
arxiv,A1,A1,0,1419,0.7646787201897518,0.7626814732215101,0.7668553247110559,0.0507399577167019,0.03946441155743481,0.06060606060606061,200
arxiv,extension_full_existing,A2,1419,17523,0.7618409102193856,0.7612019791136823,0.7624628689790212,0.05718198938537922,0.054213034297780065,0.0609556012098385,200
arxiv,extension_nonoverlap_new,A2,1419,16104,0.7615908572916686,0.7609937560463135,0.7622870097478095,0.05774962742175857,0.053960196224540485,0.06112146050670641,200
github,A1,A1,0,10000,0.5749706595211239,0.5732360185211459,0.5765510361041066,0.1187,0.111895,0.12530249999999998,200
github,extension_full_existing,A3,10000,203752,0.5741167240585332,0.5737679325905258,0.574494259182619,0.1115473713141466,0.1100946248380384,0.11272208370960776,200
github,extension_nonoverlap_new,A3,10000,193752,0.5740726504250949,0.5737397321338252,0.5744158273080159,0.11117820719269994,0.10976828626285148,0.11238193670258888,200
