outer_fold,selected_family,selected_eps,selected_ref,selected_alpha,selected_gamma,inner_rmse,v1_outer_rmse,v2_outer_rmse
1,poly_alr,0.000249500998003992,11,10.0,,0.367816814675252,0.36039639998698314,0.304428389104025
2,poly_alr,0.000249500998003992,3,10.0,,0.33448335468127266,0.4358210508309159,0.3795829521911436
3,poly_alr,0.000249500998003992,11,10.0,,0.36706082913192833,0.38620359853487846,0.3107886075679891
4,poly_alr,0.000249500998003992,11,10.0,,0.34341121091737054,0.407724250089452,0.35935955637423994
5,poly_alr,0.000249500998003992,11,10.0,,0.3633571361410304,0.3808911450317111,0.30852892767171913
