source,cost_model,budget,replicate,r_N,r_D,r_Q,Q_state,KKT_rel_error,Q_complementarity_ok,budget_ratio
joint_bootstrap,exponential,1e+22,113,7.43940525015e-24,7.43940498722e-24,6.28795583007e-23,upper,3.5343708543e-08,True,1
joint_bootstrap,exponential,1e+24,113,3.4933118765e-26,3.4933118763e-26,2.99295863913e-24,upper,5.6785278991e-11,True,1
joint_bootstrap,exponential,1e+19,114,2.37572408278e-20,2.37572453607e-20,2.37572377801e-20,interior,3.19087053499e-07,True,1
joint_bootstrap,exponential,1e+20,114,1.79711277794e-21,1.79711276456e-21,1.79711284495e-21,interior,4.47332846669e-08,True,1
joint_bootstrap,exponential,1e+22,114,7.43920274624e-24,7.43920280912e-24,5.6236756419e-23,upper,8.45161192649e-09,True,1
joint_bootstrap,exponential,1e+24,114,3.49319513035e-26,3.49319488963e-26,2.71269100415e-24,upper,6.89107418463e-08,True,1
joint_bootstrap,exponential,1e+19,115,2.35759963511e-20,2.3575997437e-20,2.35759988961e-20,interior,1.07950666899e-07,True,1
joint_bootstrap,exponential,1e+20,115,1.77664279227e-21,1.77664291143e-21,1.77664291578e-21,interior,6.95185138099e-08,True,1
joint_bootstrap,exponential,1e+22,115,7.43926185448e-24,7.43926212649e-24,4.27208001774e-23,upper,3.65645208335e-08,True,1
joint_bootstrap,exponential,1e+24,115,3.49350869597e-26,3.49350857473e-26,2.08546558474e-24,upper,3.47036125447e-08,True,1
joint_bootstrap,exponential,1e+19,116,2.36129733531e-20,2.36129751376e-20,2.36129744015e-20,interior,7.55734126013e-08,True,1
joint_bootstrap,exponential,1e+20,116,1.77768446964e-21,1.77768466214e-21,1.77768462342e-21,interior,1.08289807353e-07,True,1
joint_bootstrap,exponential,1e+22,116,7.43922440143e-24,7.43922431538e-24,4.14272203963e-23,upper,1.15678693454e-08,True,1
joint_bootstrap,exponential,1e+24,116,3.49343426653e-26,3.49343450627e-26,2.02543394487e-24,upper,6.86252156939e-08,True,1
joint_bootstrap,exponential,1e+19,117,2.36630624703e-20,2.3663061917e-20,2.3663062972e-20,interior,4.45844605886e-08,True,1
joint_bootstrap,exponential,1e+20,117,1.81828544219e-21,1.81828463197e-21,1.8182843943e-21,interior,5.76305180434e-07,True,1
joint_bootstrap,exponential,1e+22,117,7.43825874954e-24,7.4382584871e-24,7.17499091835e-23,upper,3.52836104722e-08,True,1
joint_bootstrap,exponential,1e+24,117,3.492721887e-26,3.49272200671e-26,3.53605016432e-24,upper,3.42749565102e-08,True,1
joint_bootstrap,exponential,1e+19,118,2.35796556697e-20,2.35796577675e-20,2.357965958e-20,interior,1.6583059771e-07,True,1
joint_bootstrap,exponential,1e+20,118,1.78204664378e-21,1.78204665539e-21,1.78204671174e-21,interior,3.81324800745e-08,True,1
joint_bootstrap,exponential,1e+22,118,7.43862131915e-24,7.43862178176e-24,4.77674871061e-23,upper,6.21897711009e-08,True,1
joint_bootstrap,exponential,1e+24,118,3.49295263354e-26,3.49295239294e-26,2.3334489897e-24,upper,6.88828166639e-08,True,1
joint_bootstrap,exponential,1e+19,119,2.35760126509e-20,2.35760109489e-20,2.35760110432e-20,interior,7.21945576261e-08,True,1
joint_bootstrap,exponential,1e+20,119,1.76354868765e-21,1.76354822189e-21,1.7635468645e-21,interior,1.03379865272e-06,True,1
joint_bootstrap,exponential,1e+22,119,7.43858866669e-24,7.4385884889e-24,3.63333876539e-23,upper,2.39016568629e-08,True,1
joint_bootstrap,exponential,1e+24,119,3.49305784853e-26,3.49305760808e-26,1.72664735308e-24,upper,6.88371560199e-08,True,1
joint_bootstrap,exponential,1e+19,120,2.36275065924e-20,2.36275049605e-20,2.3627505111e-20,interior,6.9065739719e-08,True,1
joint_bootstrap,exponential,1e+20,120,1.80847212757e-21,1.80847261911e-21,1.80847399174e-21,interior,1.03080038715e-06,True,1
joint_bootstrap,exponential,1e+22,120,7.43850493159e-24,7.43850454093e-24,7.01836911548e-23,upper,5.25177035581e-08,True,1
joint_bootstrap,exponential,1e+24,120,3.49294434522e-26,3.49294410448e-26,3.4229797676e-24,upper,6.8921328719e-08,True,1
joint_bootstrap,exponential,1e+19,121,2.35900750171e-20,2.35900757374e-20,2.35900753007e-20,interior,3.05334602822e-08,True,1
joint_bootstrap,exponential,1e+20,121,1.81311968328e-21,1.81311979918e-21,1.81311983524e-21,interior,8.38109594236e-08,True,1
joint_bootstrap,exponential,1e+22,121,7.4389977615e-24,7.43899800999e-24,7.18199557445e-23,upper,3.3403552403e-08,True,1
joint_bootstrap,exponential,1e+24,121,3.49341041441e-26,3.49341042137e-26,3.5480046853e-24,upper,1.99324036743e-09,True,1
joint_bootstrap,exponential,1e+19,122,2.35458159657e-20,2.35458163491e-20,2.35458136934e-20,interior,1.127850307e-07,True,1
joint_bootstrap,exponential,1e+20,122,1.76968284867e-21,1.76968236139e-21,1.76968223826e-21,interior,3.44927708165e-07,True,1
joint_bootstrap,exponential,1e+22,122,7.43943576107e-24,7.43943621951e-24,3.55640822601e-23,upper,6.16226679197e-08,True,1
joint_bootstrap,exponential,1e+24,122,3.49362682388e-26,3.49362682346e-26,1.74862277327e-24,upper,1.18705588882e-10,True,1
joint_bootstrap,exponential,1e+19,123,2.41304015036e-20,2.41304045721e-20,2.41304036228e-20,interior,1.27163058317e-07,True,1
joint_bootstrap,exponential,1e+20,123,1.79856023159e-21,1.79856096169e-21,1.79856215928e-21,interior,1.07179951068e-06,True,1
joint_bootstrap,exponential,1e+22,123,7.43786086494e-24,7.4378606018e-24,5.07919795154e-23,upper,3.53772411335e-08,True,1
joint_bootstrap,exponential,1e+24,123,3.4923400945e-26,3.49234033425e-26,2.33429541697e-24,upper,6.86510853628e-08,True,1
joint_bootstrap,exponential,1e+19,124,2.36296226142e-20,2.36296201132e-20,2.36296212733e-20,interior,1.05841634135e-07,True,1
joint_bootstrap,exponential,1e+20,124,1.81892386885e-21,1.81892409396e-21,1.818924056e-21,interior,1.23761806762e-07,True,1
joint_bootstrap,exponential,1e+22,124,7.4386407265e-24,7.43864131452e-24,7.4210615229e-23,upper,7.90500577202e-08,True,1
joint_bootstrap,exponential,1e+24,124,3.49300569996e-26,3.49300593998e-26,3.65171948541e-24,upper,6.87144318129e-08,True,1
joint_bootstrap,exponential,1e+19,125,2.36411211167e-20,2.36411195902e-20,2.36411186531e-20,interior,1.0420755845e-07,True,1
joint_bootstrap,exponential,1e+20,125,1.79769273366e-21,1.79769227587e-21,1.79769256179e-21,interior,2.54657329801e-07,True,1
joint_bootstrap,exponential,1e+22,125,7.43978156701e-24,7.43978155968e-24,5.92642965112e-23,upper,9.8530747721e-10,True,1
joint_bootstrap,exponential,1e+24,125,3.49536714897e-26,3.49536726869e-26,2.89996665275e-24,upper,3.42516351969e-08,True,1
joint_bootstrap,exponential,1e+19,126,2.37392094883e-20,2.37392124682e-20,2.37392049995e-20,interior,3.14614216796e-07,True,1
joint_bootstrap,exponential,1e+20,126,1.79262601615e-21,1.79262587784e-21,1.7926259801e-21,interior,7.71563453633e-08,True,1
joint_bootstrap,exponential,1e+22,126,7.43919595308e-24,7.43919641078e-24,5.52931599874e-23,upper,6.15244646515e-08,True,1
joint_bootstrap,exponential,1e+24,126,3.49349325197e-26,3.49349301179e-26,2.64680008766e-24,upper,6.87516250111e-08,True,1
joint_bootstrap,exponential,1e+19,127,2.3638616589e-20,2.36386178042e-20,2.36386174717e-20,interior,5.14072023328e-08,True,1
joint_bootstrap,exponential,1e+20,127,1.79804720827e-21,1.79804699989e-21,1.79804722913e-21,interior,1.2749005592e-07,True,1
joint_bootstrap,exponential,1e+22,127,7.43902071124e-24,7.43902083178e-24,6.00720601262e-23,upper,1.62044299965e-08,True,1
joint_bootstrap,exponential,1e+24,127,3.49303858704e-26,3.49303845438e-26,2.93394253386e-24,upper,3.79800179328e-08,True,1
joint_bootstrap,exponential,1e+19,128,2.37451327671e-20,2.37451341207e-20,2.37451342088e-20,interior,6.07189009166e-08,True,1
joint_bootstrap,exponential,1e+20,128,1.78455976596e-21,1.78455975425e-21,1.78455983353e-21,interior,4.44236175731e-08,True,1
joint_bootstrap,exponential,1e+22,128,7.4393615877e-24,7.43936132485e-24,4.56584741861e-23,upper,3.5332596332e-08,True,1
joint_bootstrap,exponential,1e+24,128,3.49359268509e-26,3.4935929231e-26,2.19567016668e-24,upper,6.81264424377e-08,True,1
joint_bootstrap,exponential,1e+19,129,2.35876158749e-20,2.35876171428e-20,2.35876175296e-20,interior,7.01516341178e-08,True,1
joint_bootstrap,exponential,1e+20,129,1.7704349122e-21,1.77043483347e-21,1.77043489464e-21,interior,4.44701172055e-08,True,1
joint_bootstrap,exponential,1e+22,129,7.43813034674e-24,7.43813053004e-24,3.91887522407e-23,upper,2.4643473041e-08,True,1
joint_bootstrap,exponential,1e+24,129,3.492651414e-26,3.4926515503e-26,1.88923766941e-24,upper,3.90244029646e-08,True,1
joint_bootstrap,exponential,1e+19,130,2.35743232339e-20,2.35743256802e-20,2.35743267913e-20,interior,1.50904191953e-07,True,1
joint_bootstrap,exponential,1e+20,130,1.79572528433e-21,1.79572557e-21,1.79572457939e-21,interior,5.51646177884e-07,True,1
joint_bootstrap,exponential,1e+22,130,7.43976977881e-24,7.43977002696e-24,5.43258446403e-23,upper,3.33547798311e-08,True,1
joint_bootstrap,exponential,1e+24,130,3.49383889862e-26,3.49383903877e-26,2.71869711676e-24,upper,4.01139077143e-08,True,1
