outer_fold,model,spec,inner_rmse,selected
2,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.26881642560834496,False
2,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2578310857782472,False
2,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2686907529447836,False
2,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2631003054867584,False
2,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2663387706910776,False
2,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2877677249218023,False
2,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.27855875453813217,False
2,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2672006211872106,False
2,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.27641562307492334,False
2,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.6968289786778267,False
2,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.696389442296961,False
2,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.703357823129952,False
2,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6050372624200244,False
2,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6021534241267636,False
