strategy,delta_p,support_class,observed_training_row
P0_reference,0.0,in-support,-1
P1_observed_support,-0.497303194293,in-support,71
P2_continuous_support,-0.555587912958,in-support,-1
P3_loose_simplex,-0.893034794135,in-support,-1
