budget,policy,cost_context,cost_model,Q0,L_ctx,N_B,D_B,Q_B,total_flops,train_flops,quality_flops,attention_flops,total_pct,train_pct,quality_pct,attention_pct,unused_pct
1e+19,3x_minimax_regret,central_exponential_4096,exponential,0.6,4096,0.309940712771,1.63152426719,0.818705344157,5.06913031606e+18,3.03405476566e+18,1.62082593974e+18,4.14249610671e+17,50.6913031606,30.3405476566,16.2082593974,4.14249610671,49.3086968394
1e+19,3x_minimax_regret,worst_structural_scenario,logarithmic,0.2,32768,0.309940712771,1.63152426719,0.818705344157,9.99999999998e+18,3.03405476566e+18,3.65194834895e+18,3.31399688537e+18,99.9999999998,30.3405476566,36.5194834895,33.1399688537,2.48345788378e-10
1e+22,3x_minimax_regret,central_exponential_4096,exponential,0.6,4096,4.11293224679,176.603228937,1,5.60100905186e+21,4.35814269109e+21,6.47834612008e+20,5.95031748757e+20,56.0100905186,43.5814269109,6.47834612008,5.95031748757,43.9899094814
1e+22,3x_minimax_regret,worst_structural_scenario,power,0.2,32768,4.11293224679,176.603228937,1,1e+22,4.35814269109e+21,8.81603318854e+20,4.76025399006e+21,100,43.5814269109,8.81603318854,47.6025399006,0
1e+24,3x_minimax_regret,central_exponential_4096,exponential,0.6,4096,35.897475,899.679,1,2.23534574622e+23,1.93777226463e+23,3.30029750535e+21,2.64570506531e+22,22.3534574622,19.3777226463,0.330029750535,2.64570506531,77.6465425378
1e+24,3x_minimax_regret,worst_structural_scenario,power,0.2,32768,35.897475,899.679,1,4.09924829256e+23,1.93777226463e+23,4.491197568e+21,2.11656405225e+23,40.9924829256,19.3777226463,0.4491197568,21.1656405225,59.0075170744
