model,axis,train_fraction,max_train_N_B,n,rmse,mae,bias,relative_error,spearman
classic_relative,N_small_to_large,0.6,1.040867,588,0.0001307671708,9.597338381e-05,-4.746645708e-05,4.070530753e-05,0.9999987752
classic_relative,D_early_to_late,0.6,,472,0.0001150806714,8.707639046e-05,-1.614448848e-05,3.60378191e-05,0.9999996862
classic_relative,N_small_to_large,0.7,1.416184,441,0.0001272534936,8.926158272e-05,-4.390064526e-05,3.7986426e-05,0.9999979362
classic_relative,D_early_to_late,0.7,,352,0.0001152077314,8.822577714e-05,-1.93900087e-05,3.658649474e-05,1
classic_relative,N_small_to_large,0.8,2.782831,294,0.0001200576906,8.03871737e-05,1.301651275e-05,3.458056468e-05,0.9999970486
classic_relative,D_early_to_late,0.8,,240,0.0001082251102,8.308218335e-05,-7.92790506e-06,3.457653168e-05,1
classic_log,N_small_to_large,0.5,1.040867,588,0.0001384150668,0.0001038812714,-6.18791727e-05,4.428502272e-05,0.9999987752
classic_log,D_early_to_late,0.5,,584,0.0001180400051,9.047781834e-05,-2.890707877e-05,3.746583896e-05,0.9999996385
classic_log,N_small_to_large,0.6,1.040867,588,0.0001384150668,0.0001038812714,-6.18791727e-05,4.428502272e-05,0.9999987752
classic_log,D_early_to_late,0.6,,472,0.0001160056842,8.785965091e-05,-2.278961117e-05,3.635296026e-05,0.9999996862
classic_log,N_small_to_large,0.7,1.416184,441,0.0001302653381,9.37779407e-05,-5.469571228e-05,4.012247867e-05,0.9999979362
classic_log,D_early_to_late,0.7,,352,0.0001160200311,8.893558094e-05,-2.443818144e-05,3.688133567e-05,1
classic_log,N_small_to_large,0.8,2.782831,294,0.0001187774543,7.895848703e-05,-2.773051848e-06,3.391226433e-05,0.9999965764
classic_log,D_early_to_late,0.8,,240,0.0001086651211,8.328993062e-05,-1.293978995e-05,3.465139467e-05,1
