domain,Q_baseline,PCA_1,FA_1,entropy_22,group_equal_rank_aggregate
arxiv,0.7646787201897518,8.476638056866955,3.8835071969498447,0.8000852278404291,0.5659874596749225
book,0.6200730289985891,8.743643432279354,5.655756898579199,0.5783543715231656,0.46876174864688996
c4,0.6894487209963724,-0.8972929245742258,-0.2914672977393577,0.5822540780924079,0.553647138606936
commoncrawl,0.7092007574378594,0.7623062142268756,-0.024237763632360083,0.6239303575933393,0.5381911735243073
github,0.5749706595211239,-0.6842428879435466,0.07621288196489538,0.5546659098044626,0.3912324687520333
stackexchange,0.6959010296594504,0.2164414885605459,-0.1680720942172817,0.6659281877416239,0.5105916102358179
wikipedia,0.6476952662987847,-0.7221201095188793,-0.24109140007954807,0.5578914775129118,0.49893304469804706
