family,role,primary_test_1m_rmse,nested_oof_rmse,test_60m_rmse,test_1B_rmse,test_1m_mae,test_1m_spearman_mean,test_1B_mixture_mean_spearman,active_features,stable_1pp_targets,selected_spec,effect_sign_agreement_with_v2,effect_rank_spearman_with_v2,primary_gain_ci_low,primary_gain_ci_high,scale_60m_gain_ci_high,scale_1B_gain_ci_high,eligible_to_replace,decision
v2_champion,frozen_champion,0.2701792457048059,0.3340097260320915,1.595903245636194,2.702111047518439,0.18895674382142044,0.9452244396711093,0.5666666666666665,152,9,"{""alpha"": 10.0}",16,1.0,,,,,False,REPLACED
alr_elasticnet,challenger,0.2543455703215431,0.3183773206035827,1.5924237703692474,2.6887053228972597,0.17884490687534724,0.9493518583728011,0.6577380952380951,136,9,"{""alpha"": 0.01, ""l1_ratio"": 0.7}",15,0.9735294117647059,0.010465459987616993,0.021037450201322524,0.008715610005376939,0.01879540603832353,True,NEW_CROSS_QUESTION_CHAMPION
ilr_ridge,challenger,0.2822043105788778,0.3510292549281615,1.5945702353883313,2.6567619067352815,0.1968301296515907,0.9389587588252899,0.4990842490842491,152,10,"{""alpha"": 10.0, ""eps_mult"": 0.25}",15,0.976470588235294,-0.02044811107699912,-0.003613749960852638,0.009074993223917199,0.05680966778377438,False,REJECT_CROSS_SCALE_UPGRADE
alr_pls,challenger,0.48068556550380376,0.5421072260627241,1.6282257700456748,3.156230330567312,0.3717203843881759,0.6915738287233478,0.5288003663003662,12,13,"{""n_components"": 12}",14,0.888235294117647,-0.2291802659348075,-0.19112398213163706,-0.007688433189583052,-0.4260470610830983,False,REJECT_CROSS_SCALE_UPGRADE
clr_spline,challenger,0.20817256438217724,0.25221883135504797,1.5614059700293537,2.7357058924478177,0.14672020583755047,0.9645873681708539,0.6630036630036629,85,11,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""n_knots"": 4}",10,0.8823529411764707,0.04442045090823688,0.0789651550003834,0.06073008692771862,-0.006290679268124555,False,REJECT_CROSS_SCALE_UPGRADE
