dataset,n_mixtures,status,v2_rmse,elasticnet_rmse,v2_minus_elasticnet_rmse,gain_ci_low,gain_ci_high,v2_mae,elasticnet_mae,v2_spearman_mean,elasticnet_spearman_mean,v2_mixture_mean_spearman,elasticnet_mixture_mean_spearman,v2_bias,elasticnet_bias
train_nested_oof,512,train_only_nested,0.3340097260320915,0.3183773206035827,0.0156324054285088,0.0122545194825706,0.0192700999978666,0.2243831806191374,0.2138105619815508,0.9243789617066024,0.929488252374878,0.6314280278321374,0.6462172483148511,-0.000204565278965,0.0005950435850091
test_1m,256,retrospective_observed,0.2701792457048059,0.2543455703215431,0.0158336753832628,0.0104654599876169,0.0210374502013225,0.1889567438214204,0.1788449068753472,0.9452244396711093,0.9493518583728012,0.7152845330739298,0.7305633440146485,0.0463617926800898,0.0436116524058998
test_60m,256,retrospective_observed,1.595903245636194,1.5924237703692474,0.0034794752669464,-0.0017691735873579,0.0087156100053769,1.5086601993763016,1.5058666194392136,0.9408450270260752,0.9447463114248992,0.6822950045777064,0.6891258010986494,1.50573258136836,1.5029824410941697
test_1B,64,retrospective_observed,2.702111047518439,2.68870532289726,0.0134057246211791,0.0078230268762477,0.0187954060383235,2.620239559032141,2.613250938396161,0.8766659622428852,0.8907720484643561,0.5666666666666665,0.6577380952380951,2.618575902709615,2.6128643639280003
est_10b,63,estimated_label,3.621215241918493,3.6261349935414366,-0.0049197516229431,-0.0129204379038294,0.0031952017515664,3.558920289376837,3.5635618541770118,0.6327508658580455,0.6353467302607326,-0.6062307987711214,-0.5965341781874041,3.558920289376837,3.5635618541770118
est_70b,63,estimated_label,4.008987833388895,4.013870460854715,-0.00488262746582,-0.0131789043652183,0.0031028401531405,3.941833354089901,3.946474918890076,0.553628829142216,0.5567342650408198,-0.6796274961597543,-0.6692108294930876,3.941833354089901,3.946474918890076
