dataset,version,n_mixtures,mae,rmse,r2_flat,r2_domain_mean,mape,spearman_mean,bias,mean_loss_mae
test_1m,v2,256,0.1889567438,0.2701792457,0.8781358464,0.8856295377,0.0399732925,0.9452244397,0.04636179268,0.1611022903
test_60m,v2,256,1.508660199,1.595903246,-7.265603171,-7.726753275,0.4288138685,0.940845027,1.505732581,1.505732581
test_1B,v2,64,2.620239559,2.702111048,-190.2835269,-475.1314573,1.288449803,0.8766659622,2.618575903,2.618575903
est_10b,v2,63,3.558920289,3.621215242,-187.338312,-236.0418397,1.999140789,0.6327508659,3.558920289,3.558920289
est_70b,v2,63,3.941833354,4.008987833,-331.2872591,-384.5122017,2.824620177,0.5536288291,3.941833354,3.941833354
