dataset,n_mixtures,v2_minus_v3_rmse,ci_low,ci_high,unit,draws
train_nested_oof,512,0.0817908946770437,0.06597628971472236,0.09735916510325723,mixture row,3000
test_1m,256,0.062006681322628654,0.04450424014234317,0.07906224429857718,mixture row,3000
test_60m,256,0.03449727560684024,0.008235049869771976,0.061673367529425274,mixture row,3000
test_1B,64,-0.03359484492937881,-0.06046976029756418,-0.006872803280065409,mixture row,3000
est_10b,63,-0.01829086069502539,-0.05806228287388996,0.023753271494133144,mixture row,3000
est_70b,63,-0.017831078833021152,-0.0570995065353167,0.023238892013028683,mixture row,3000
