model,parameters,n_parameters,b6_rmse,bic,jacobian_condition
additive,"[0.3621747730962425, 0.990732978441888]",2,0.07606830124,-1843.036814,88.2188866
effective_power,[1.0524307053526174],1,0.1169731,-1539.098021,1
effective_exp,[2.3546623362181314],1,0.1029313531,-1631.172847,1
saturating,"[0.363275360662525, 3.5224743249811794e-10]",2,0.0760704143,-1843.016814,inf
quality_data,"[0.3625362362382417, 0.9916816542504999, 0.0412331322482612]",3,0.07508464539,-1846.52191,88.39917511
quality_model,"[0.3568073633792428, 0.9915434611768669, 0.16207292350498634]",3,0.05180404823,-2113.748315,99.8863232
