dataset,n_mixtures,centered_slope,ci_low,ci_high,spearman,mean_loss_bias,evidence_status,source
test_1m,256,0.821618589,0.7295039593,0.9256659474,0.7152845331,0.04636179268,retrospective_test_diagnostic_not_new_blind_validation,problem1 v2 final artifact; retrospective existing test labels; not identified lambda_p(N)
test_60m,256,0.609309431,0.5251737984,0.7066880706,0.6822950046,1.505732581,retrospective_test_diagnostic_not_new_blind_validation,problem1 v2 final artifact; retrospective existing test labels; not identified lambda_p(N)
test_1B,64,0.182176885,0.1252466041,0.2411313916,0.5666666667,2.618575903,retrospective_test_diagnostic_not_new_blind_validation,problem1 v2 final artifact; retrospective existing test labels; not identified lambda_p(N)
