Nc,delta,rmse
0.16,0.0002094022113,0.000146178917
0.41,0.0001670566962,0.0001463550555
1.04,-0.0004458949446,0.0001463637176
2.78,-0.0004286543446,0.0001462840303
6.86,-0.0004200041667,0.0001463864147
