N_B,D_B,Q_B,dL_dN_B,dL_dD_B,dL_dQ_B
0.1,1,0.2,-3.3058932167249377,-0.34713440554616143,-0.5147993737826636
1.0,50,0.6,-0.14365647875482873,-0.002322860401260964,-0.3565420508849927
10.0,300,0.9,-0.0059071270681282095,-0.00023446841325245986,-0.2483871809234765
