horizon_months,target_date,forecast_origin_date,compute_scenario,tech_scenario,predicted_compute,median_ability,p50_low,p50_high,p80_low,p80_high,p95_low,p95_high,status
12,2026-01-31,2025-01-31,continuation,continuation,2.49340794614254e+25,50.8107408172926,41.95132540683253,63.89412722582317,34.29514961901497,76.49898803092188,25.865793535383762,91.60815977626784,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,continuation,half_rate,2.49340794614254e+25,47.432988133101475,40.56851795579029,57.44933721051902,33.97892717219414,65.51968922954602,27.53746978105881,75.50456619439748,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,continuation,flat,2.49340794614254e+25,44.07856518174371,36.40916909778886,51.439757615844314,30.472648964502806,58.05634790931584,24.097288414639422,65.56938097917327,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,moderate_slowdown,continuation,9.254191505955551e+24,43.36559093113851,34.98437366257876,56.723435249503524,27.74528307279483,70.10430051401002,20.88586930448986,88.73093856558638,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,moderate_slowdown,half_rate,9.254191505955551e+24,40.07949879263485,33.6191295715615,50.37476386419489,27.073858778131605,59.63685045276779,21.18251808834341,71.34736852491824,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,moderate_slowdown,flat,9.254191505955551e+24,36.8802611158063,30.092788142869214,43.52049145645181,24.793702883261066,50.13946341249608,20.45505480871041,57.86136444606268,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,strong_slowdown,continuation,5.637818030377867e+24,39.73205918244657,30.792721258146074,52.304519560600504,24.11988629707551,68.72679699990613,17.83837988513654,87.26074756247422,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,strong_slowdown,half_rate,5.637818030377867e+24,36.54364118251865,30.484067069940856,46.74133209762903,24.339513415684987,55.61943381671124,18.86054457835007,68.5014138530776,exploratory; no 12/24-month direct-observation backtest
12,2026-01-31,2025-01-31,strong_slowdown,flat,5.637818030377867e+24,33.468996589353914,27.527829380390084,39.77032759288306,22.47630274489782,46.51343939384501,18.101489803050782,53.382972071518935,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,continuation,continuation,1.8101020176636807e+26,71.12792046096644,58.622282867618075,84.37965953675229,46.64323531400437,95.2701038662403,33.5259273288656,99.6464720776032,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,continuation,half_rate,1.8101020176636807e+26,65.2761126365885,55.723046455736934,75.92441164661942,46.97107932615257,84.2228550470453,37.53855115763044,93.59637553437912,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,continuation,flat,1.8101020176636807e+26,58.923206775930495,50.02128909887776,65.88607354612208,42.687306625412916,72.29638946390584,34.679816968889995,78.2903395465705,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,moderate_slowdown,continuation,2.49340794614254e+25,57.513640946744985,42.94983932000976,76.0473936099331,32.05408020920457,92.12891828031171,22.142293195734304,99.15474141454021,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,moderate_slowdown,half_rate,2.49340794614254e+25,50.8107408172926,41.396903909571854,63.23276924465572,33.93503532395429,75.07127344038298,24.910889513751993,90.50265966079934,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,moderate_slowdown,flat,2.49340794614254e+25,44.07856518174371,36.60101599599018,51.17833073782357,30.39401325516329,57.89938360245222,23.869769220881622,64.86269247574423,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,strong_slowdown,continuation,9.254191505955551e+24,50.08640425592566,35.38681766889174,69.10672112037227,24.99857626425813,90.65237521414456,16.67470783770965,99.08513908659576,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,strong_slowdown,half_rate,9.254191505955551e+24,43.36559093113851,34.87682709154927,56.53751431338452,27.107723303934534,70.17593439872591,20.567126419256205,87.02372565681657,exploratory; no 12/24-month direct-observation backtest
24,2027-01-31,2025-01-31,strong_slowdown,flat,9.254191505955551e+24,36.8802611158063,30.27727141282867,44.21931783867427,24.88166962514435,50.187736986308,20.013410860066326,57.45340792395357,exploratory; no 12/24-month direct-observation backtest
