model,n,families,train_rmse,group_cv_rmse,coefficient_json,logit_residual_sd
time_only,32,13,9.840966895325952,11.097581746321358,"[-2.4544454366128607, 1.4599104243214531]",0.7425749737406139
compute_only,32,13,5.465073415034531,7.051623634352704,"[-1.8610351904426221, 0.7138111020089164]",0.42178365015725816
structural,32,13,5.421000425526944,7.102751304827432,"[-2.0161962623467358, 0.6955036382255535, 0.2704066172904233]",0.4261821142111174
nd_time,16,10,4.4635331950416814,6.3504944733749475,"[-5.342406215278997, 0.8651697018659797, 0.7496633067641899, 0.1587513822712595]",0.3551710775672363
