cost_model,Q0,L_ctx,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
exponential,0.6,4096,1.58489319246e+20,1.16479333471,13.649617748,1,2.62269408441,1.58489319246e+20,9.53939026452e+19,5.00709690931e+19,1.30244475078e+19,0.601894834926,0.315926456945,0.0821787081286,1,1.42108547152e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.99526231497e+20,1.25750577921,16.2965173975,1,2.58517341213,1.99526231497e+20,1.22957788851e+20,5.97806058749e+19,1.67878367711e+19,0.616248740471,0.29961276483,0.084138494699,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,2.51188643151e+20,1.35905834573,19.4178042471,1,2.5494586656,2.51188643151e+20,1.58339573507e+20,7.12304398747e+19,2.16186297695e+19,0.630361195954,0.283573488758,0.0860653152876,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.16227766017e+20,1.47040740479,23.0902270644,1,2.51544378426,3.16227766017e+20,2.03712245123e+20,8.4702009026e+19,2.78135118675e+19,0.644194681856,0.267851270914,0.0879540472294,1,0,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.98107170553e+20,1.59261771846,27.4014605411,1,2.48302948145,3.98107170553e+20,2.61840309417e+20,1.00516930891e+20,3.57499302458e+19,0.657713120447,0.252487114841,0.0897997647117,1,4.4408920985e-16,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,5.01187233627e+20,1.72687581865,32.4514494981,1,2.45212283684,5.01187233627e+20,3.3623774051e+20,1.19041833613e+20,4.59076595043e+19,0.670882492509,0.237519684513,0.0915978229773,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,6.3095734448e+20,1.8745021153,38.3539468976,1,2.42263691238,6.3095734448e+20,4.31367327539e+20,1.40693997822e+20,5.88960191199e+19,0.683671140866,0.222984959368,0.0933438997662,1,4.88498130835e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,7.94328234724e+20,2.03696738296,45.2382011117,1,2.39449038992,7.94328234724e+20,5.5289244077e+20,1.65947546042e+20,7.54882479131e+19,0.696050343674,0.208915582737,0.0950340735896,1,1.70974345792e-13,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1e+21,2.2159081334,53.2508971565,1,2.36760722887,1e+21,7.0799457672e+20,1.95340563738e+20,9.66648595416e+19,0.70799457672,0.195340563738,0.0966648595416,1,2.10054196259e-13,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.25892541179e+21,2.41314469938,62.5583403019,1,2.34191634231,1.25892541179e+21,9.05773963808e+20,2.29483109461e+20,1.23668338525e+20,0.719481833731,0.182284913237,0.098233253032,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.58489319246e+21,2.63070239259,73.3489062746,1,2.31735129019,1.58489319246e+21,1.15775485938e+21,2.69066202944e+20,1.58072130134e+20,0.730493931635,0.169769296899,0.0997367714659,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.99526231497e+21,2.8708324873,85.8358740032,1,2.29384998848,1.99526231497e+21,1.47852249399e+21,3.14872216471e+20,2.01867604512e+20,0.741016598617,0.157809935119,0.101173466264,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,2.51188643151e+21,3.1360378596,100.260598947,1,2.27135443311,2.51188643151e+21,1.88652620473e+21,3.67786515622e+20,2.57573711153e+20,0.751039609542,0.146418449102,0.102541941356,1,6.2172489379e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.16227766017e+21,3.42909966767,116.896166024,1,2.24981043788,3.16227766017e+21,2.40509162439e+21,4.28810859333e+20,3.2837517645e+20,0.760556751445,0.135601900091,0.103841348464,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,3.98107170553e+21,3.75310734001,136.051547718,1,2.22916738554,3.98107170553e+21,3.06369637416e+21,4.99078653088e+20,4.18296678285e+20,0.769565735252,0.125362889695,0.105071375053,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,5.01187233627e+21,4.111491979,158.076341863,1,2.20937799147,5.01187233627e+21,3.89957766984e+21,5.79872328581e+20,5.32422337855e+20,0.778068036892,0.115699740471,0.106232222637,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,6.3095734448e+21,4.50806442517,183.366135608,1,2.19039807937,6.3095734448e+21,4.9597581163e+21,6.72643020358e+20,6.77172308145e+20,0.786068687478,0.106606734392,0.10732457813,1,3.5527136788e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,7.94328234724e+21,4.94705271286,212.368788508,1,2.17218636864,7.94328234724e+21,6.3035975479e+21,7.79033614131e+20,8.60651185207e+20,0.793575913878,0.0980745213471,0.108349564775,1,1.33226762955e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,7.1054273576e-15,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.25892541179e+22,5.97157860008,283.60758716,1,2.13791571062,1.25892541179e+22,1.01615099898e+22,1.04035929749e+21,1.38738483061e+21,0.807157429237,0.0826386764251,0.110203894338,1,1.90958360236e-14,False,not_applicable,False,False,False,False,False,True
exponential,0.6,4096,1.58489319246e+22,6.56810658505,327.068451551,1,2.12178692392,1.58489319246e+22,1.28893227024e+22,1.1997870293e+21,1.75982219296e+21,0.813261282443,0.0757014437946,0.111037273763,1,1.7763568394e-15,False,not_applicable,False,False,False,False,False,True
