budget,N_B,D_B,D_over_N,e_N,e_D,e_Q
1e+18,0.0922468727279,1.58969906923,17.2330944369,0.466720606914,0.533279393086,0
1.25892541179e+18,0.102712597611,1.79739222722,17.4992383508,0.466855143775,0.533144856225,0
1.58489319246e+18,0.114372780885,2.03209445694,17.7672907944,0.467125965549,0.532874034451,0
1.99526231497e+18,0.127364649801,2.2972997544,18.0371850273,0.467401162774,0.532598837226,0
2.51188643151e+18,0.141841368693,2.59695042193,18.3088364548,0.467680943556,0.532319056444,0
3.16227766017e+18,0.157973810717,2.9354958953,18.5821680314,0.507316784554,0.450032494207,0.0232054028041
3.98107170553e+18,0.179170402877,3.19499481342,17.8321573324,0.605355812139,0.240592524996,0.0910289197069
5.01187233627e+18,0.208764311221,3.27944221173,15.7088258646,0.637287149846,0.16296294086,0.130405893832
6.3095734448e+18,0.240283362175,3.44399685076,14.3330641772,0.593088143056,0.245126699653,0.121747085008
7.94328234724e+18,0.274330367676,3.6713460555,13.382937101,0.562869407889,0.300694709457,0.115914385422
1e+19,0.311384923873,3.95550272052,12.7029358754,0.540653539604,0.341010975531,0.111705705609
1.25892541179e+19,0.351888110683,4.29563643628,12.2073929351,0.523511722656,0.371622363726,0.108535051818
1.58489319246e+19,0.396277967017,4.69381707284,11.8447591426,0.509818732776,0.395606231732,0.106078296819
1.99526231497e+19,0.445008534455,5.15405161935,11.5819163461,0.498588840382,0.414822702627,0.104141915853
2.51188643151e+19,0.498560301609,5.68186225338,11.3965396664,0.489186178904,0.430464085723,0.102605088494
3.16227766017e+19,0.557449558482,6.28407820205,11.2729091026,0.481190004785,0.443315346648,0.101393330038
3.98107170553e+19,0.622236804295,6.96873211532,11.1994855772,0.474310760447,0.453897202318,0.100467121545
5.01187233627e+19,0.693533953702,7.74499285477,11.1674314047,0.468366593192,0.462511732407,0.0998240067387
6.3095734448e+19,0.77202082241,8.62295493934,11.1693294909,0.463294912671,0.469199553342,0.0995247423873
7.94328234724e+19,0.858473137998,9.61304404357,11.1978390681,0.459266020169,0.473426831566,0.0998101565208
1e+20,0.953854686911,10.7236216526,11.2424059973,0.457727538863,0.471472541308,0.101997523714
1.25892541179e+20,1.05991787948,11.944155268,11.2689440373,0.433833293987,0.523895031821,0.0853588207793
1.58489319246e+20,1.16479333471,13.649617748,11.7184888867,0.371188857178,0.674696821244,0.0334344805234
1.99526231497e+20,1.25750577921,16.2965173975,12.9593976162,0.334946125068,0.765398146495,-4.4408920985e-16
2.51188643151e+20,1.35905834573,19.4178042471,14.2876899348,0.339638457248,0.756666995437,4.4408920985e-16
3.16227766017e+20,1.47040740479,23.0902270644,15.7032853542,0.344367206381,0.747867967064,-4.4408920985e-16
3.98107170553e+20,1.59261771846,27.4014605411,17.2052968038,0.349117135207,0.739029481791,0
5.01187233627e+20,1.72687581865,32.4514494981,18.791999487,0.353871958693,0.73018175299,0
6.3095734448e+20,1.8745021153,38.3539468976,20.4608714946,0.358614833752,0.721356134521,0
7.94328234724e+20,2.03696738296,45.2382011117,22.2086035791,0.363329083541,0.71258433215,-4.4408920985e-16
1e+21,2.2159081334,53.2508971565,24.0311844854,0.367996446961,0.703899456176,4.4408920985e-16
1.25892541179e+21,2.41314469938,62.5583403019,25.9239905166,0.372599841156,0.695333566491,0
1.58489319246e+21,2.63070239259,73.3489062746,27.8818715797,0.377122439617,0.686918077022,4.4408920985e-16
