strategy,mixture_loss,delta_p,distance_to_train,training_local_support_threshold,outside_support,max_share,training_row,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
P0_reference,5.21742885026,0,1.71189837764,2.53684014066,False,0.0588235294118,-1,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118,0.0588235294118
P1_observed_support,4.72012565597,-0.497303194293,0,2.53684014066,False,0.363,71,0.038,0.024,0,0.363,0.006,0.138,0.185,0.003,0.021,0,0.072,0.037,0.041,0.02,0.026,0.016,0.01
P1_loose_simplex,4.32439405613,-0.893034794135,2.02346085081,2.53684014066,False,0.19343217479,-1,0.0628091809271,0.0650428822696,4.08622714337e-07,0.0715676990557,0.0114756406668,0.19343217479,0.039949335865,4.08622714337e-07,0.0913200984894,4.08622714337e-07,4.08622714337e-07,0.185504118193,0.164659704583,4.08622714337e-07,4.08622714337e-07,0.0477314087836,0.0665053046411
