Q0_scenario,Q0,L_ctx,cost_model,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
low,0.2,4096,exponential,1e+19,0.359305873591,2.99610852868,0.753755543138,3.20839290623,1e+19,6.45911635363e+18,2.65899896022e+18,8.81884686149e+17,0.645911635363,0.265899896022,0.0881884686149,1,3.94351218347e-13,False,not_applicable,False,False,False,False,False,False
low,0.2,4096,exponential,1e+22,5.47952050179,241.738391218,1,2.15530880786,1e+22,7.9476628245e+21,9.67216277864e+20,1.08512089764e+21,0.79476628245,0.0967216277864,0.108512089764,1,1.7763568394e-14,False,not_applicable,False,False,False,False,False,True
low,0.2,4096,exponential,1e+24,39.6168467806,3647.5544883,1,1.91603887162,1e+24,8.6702764372e+23,1.45941819903e+22,1.18378174289e+23,0.86702764372,0.0145941819903,0.118378174289,1,6.66133814775e-15,False,not_applicable,False,False,False,False,False,True
mid,0.6,4096,exponential,1e+19,0.311384923873,3.95550272052,0.724121163537,3.18042337194,1e+19,7.39010348105e+18,1.60090105701e+18,1.00899546195e+18,0.739010348105,0.160090105701,0.100899546195,1,3.10862446895e-15,False,not_applicable,False,False,False,False,False,False
mid,0.6,4096,exponential,1e+22,5.43315455833,245.591189004,1,2.15470427308,1e+22,8.00600932813e+21,9.00903531598e+20,1.09308714027e+21,0.800600932813,0.0900903531598,0.109308714027,1,7.1054273576e-15,False,not_applicable,False,False,False,False,False,True
mid,0.6,4096,exponential,1e+24,39.56184334,3656.99670841,1,1.91599639637,1e+24,8.68065185239e+23,1.34149814699e+22,1.18519833291e+23,0.868065185239,0.0134149814699,0.118519833291,1,3.8635761257e-14,False,not_applicable,False,False,False,False,False,True
high,0.8,4096,exponential,1e+19,0.242088739776,6.05747990799,0.8,3.10334882026,1e+19,8.79868606288e+18,0,1.20131393712e+18,0.879868606288,0,0.120131393712,1,1.02140518266e-14,False,not_applicable,False,False,False,False,True,False
high,0.8,4096,exponential,1e+22,5.31170836941,256.14238748,1,2.15312942125,1e+22,8.16332198003e+21,7.22112458964e+20,1.11456556101e+21,0.816332198003,0.0722112458964,0.111456556101,1,1.7763568394e-14,False,not_applicable,False,False,False,False,False,True
high,0.8,4096,exponential,1e+24,39.420848014,3681.37235533,1,1.91588765642,1e+24,8.70736920614e+23,1.03784651577e+22,1.18884614228e+23,0.870736920614,0.0103784651577,0.118884614228,1,2.16049400592e-13,False,not_applicable,False,False,False,False,False,True
