replicate,budget,N_B,D_B,Q_B,loss,C_total,C_train,C_Q,C_attn,s_train,s_Q,s_attn,budget_ratio,optimizer_spread,global_checked,global_gap,N_at_lower_bound,N_at_upper_bound,D_at_lower_bound,D_at_upper_bound,Q_at_Q0,Q_at_1
12,1e+19,0.311936714095,3.94637636387,0.724571168059,3.17843103963,1e+19,7.38611805316e+18,1.60543062865e+18,1.00845131819e+18,0.738611805316,0.160543062865,0.100845131819,1,1.82076576039e-14,False,not_applicable,False,False,False,False,False,False
12,1e+20,0.943371069676,10.9997587467,0.951961462309,2.70165482502,1e+20,6.22611250505e+19,2.92381560093e+19,8.50071894022e+18,0.622611250505,0.292381560093,0.0850071894022,1,1.60760293966e-13,False,not_applicable,False,False,False,False,False,False
12,1e+22,5.43388188565,245.561277655,1,2.15471046419,1e+22,8.00610587081e+21,9.0079380763e+20,1.09310032156e+21,0.800610587081,0.090079380763,0.109310032156,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
12,1e+24,39.5717958483,3656.08929052,1,1.91603848924,1e+24,8.68068114045e+23,1.34116527837e+22,1.18520233171e+23,0.868068114045,0.0134116527837,0.118520233171,1,6.5059069243e-14,False,not_applicable,False,False,False,False,False,True
13,1e+19,0.312122396066,3.94465515385,0.724536543217,3.18582796522,1e+19,7.38729130964e+18,1.60409718355e+18,1.00861150681e+18,0.738729130964,0.160409718355,0.100861150681,1,5.74651437546e-13,False,not_applicable,False,False,False,False,False,False
13,1e+20,1.00252860463,9.51950430427,1,2.70361373683,1e+20,5.72614522014e+19,3.4920450858e+19,7.81809694056e+18,0.572614522014,0.34920450858,0.0781809694056,1,2.62012633812e-14,False,not_applicable,False,False,False,False,False,True
13,1e+22,5.43173140342,245.649737358,1,2.15469685787,1e+22,8.00582035589e+21,9.01118304852e+20,1.09306133926e+21,0.800582035589,0.0901118304852,0.109306133926,1,2.22044604925e-15,False,not_applicable,False,False,False,False,False,True
13,1e+24,39.5384051886,3659.13545751,1,1.91600499962,1e+24,8.68058282155e+23,1.34228270552e+22,1.1851889079e+23,0.868058282155,0.0134228270552,0.11851889079,1,4.7251091928e-13,False,not_applicable,False,False,False,False,False,True
14,1e+19,0.311385365884,3.95801398124,0.723773275824,3.17919919364,1e+19,7.39480579033e+18,1.59555672576e+18,1.00963748391e+18,0.739480579033,0.159555672576,0.100963748391,1,4.88498130835e-15,False,not_applicable,False,False,False,False,False,False
14,1e+20,0.947359973041,10.8927370136,0.955350404783,2.70209771228,1e+20,6.19160582614e+19,2.96303359173e+19,8.4536058213e+18,0.619160582614,0.296303359173,0.084536058213,1,1.06581410364e-14,False,not_applicable,False,False,False,False,False,False
14,1e+22,5.43131509787,245.666869376,1,2.15469405689,1e+22,8.00576506013e+21,9.0118115033e+20,1.09305378954e+21,0.800576506013,0.090118115033,0.109305378954,1,8.881784197e-16,False,not_applicable,False,False,False,False,False,True
14,1e+24,39.5364064931,3659.31795576,1,1.91597242586,1e+24,8.68057693118e+23,1.34234965145e+22,1.18518810367e+23,0.868057693118,0.0134234965145,0.118518810367,1,1.66533453694e-14,False,not_applicable,False,False,False,False,False,True
15,1e+19,0.312411229278,3.92662663367,0.726609497769,3.18290094613,1e+19,7.36033352125e+18,1.63473560865e+18,1.0049308701e+18,0.736033352125,0.163473560865,0.10049308701,1,8.881784197e-15,False,not_applicable,False,False,False,False,False,False
