omega,budget,N_B,D_B,Q_B,raw_loss,penalized_objective,N_over_B1_max,D_over_B1_max
0.01,1e+24,60.2233448171,2413.45740819,1,1.91789710623,1.98750034941,5.0329454774,8.04772838376
0.05,1e+24,71.0603474459,2048.16033188,1,1.91968055418,2.26292739289,5.93860828199,6.82963701013
0.1,1e+24,73.2370361216,1987.73052537,1,1.92006845946,2.6059850933,6.12051706603,6.62813245181
0.25,1e+24,74.68835684,1949.38177369,1,1.92033111671,3.63466610039,6.24180587967,6.50025767086
1,1e+24,75.4602003311,1929.58368823,1,1.9204719957,8.7774614112,6.30630987259,6.43424050655
