kind,n,families,oof_rmse,oof_mae,fold_rmse_sd,worst_fold_rmse,high_rmse,medium_rmse
scale_only_diagnostic,75,23,10.451277607595454,8.212160585087842,3.353509585348352,14.46915018208471,8.666392569122694,10.61799648155124
loss_plus_scale,75,23,10.559928669562481,8.345909955495426,3.4609288638191837,14.762068879166751,8.66664580208227,10.735887978532919
fixed_loss_plus_scale,75,23,11.576452297599502,9.195770248586205,3.8602139179350607,16.114170339339406,9.134550965550368,11.799170232228382
gompertz,75,23,11.768512060269375,9.512887741368623,3.5914889002911203,16.58425083545032,12.153830664184682,11.728128273111063
monotone_kink,75,23,11.849386810203871,9.637765741086662,3.5644507333172113,16.473091700254354,13.391367345876214,11.679101841217546
original_logistic,75,23,11.86412981770644,9.4963126293145,3.583408770681231,16.56516967569879,12.132345525131914,11.836174342980982
