subset,window_quarters,metric,n_min,targets,mae,max_abs_error
license_W2,1,p95,1,3,4.125088051634393,6.807650802559973
license_W2,1,p95,3,2,4.996956651384112,6.807650802559973
license_W2,1,p95,5,1,6.807650802559973,6.807650802559973
license_W2,1,top3,1,3,5.771890579655403,8.115067960978063
license_W2,1,top3,3,2,7.17876418352345,8.115067960978063
license_W2,1,top3,5,1,6.242460406068837,6.242460406068837
license_W2,2,p90,1,2,1.7669982191756493,3.016161089913755
license_W2,2,p90,3,1,0.5178353484375435,0.5178353484375435
license_W2,2,p95,1,2,2.696970371032366,4.938422340521026
license_W2,2,p95,3,1,0.4555184015437064,0.4555184015437064
license_W2,2,top3,1,2,7.024134072827019,8.469320508820129
license_W2,2,top3,3,1,8.469320508820129,8.469320508820129
license_W2,3,p90,1,1,2.73420929918451,2.73420929918451
license_W2,3,p95,1,1,2.999518453518082,2.999518453518082
license_W2,3,top3,1,1,5.777785288316963,5.777785288316963
strict_W1,1,p90,1,3,3.829262691154671,5.283177027344287
strict_W1,1,p90,3,2,5.034270914807596,5.283177027344287
strict_W1,1,p90,5,2,5.034270914807596,5.283177027344287
strict_W1,1,p90,10,1,4.785364802270905,4.785364802270905
strict_W1,1,p95,1,3,4.330674229224605,5.73233790291242
strict_W1,1,p95,3,2,5.415140901326595,5.73233790291242
strict_W1,1,p95,5,2,5.415140901326595,5.73233790291242
strict_W1,1,p95,10,1,5.09794389974077,5.09794389974077
strict_W1,1,top3,1,3,6.003297330529122,11.298956109585635
strict_W1,1,top3,3,2,7.525874309834029,11.298956109585635
strict_W1,1,top3,5,2,7.525874309834029,11.298956109585635
strict_W1,1,top3,10,1,3.752792510082422,3.752792510082422
strict_W1,2,p90,1,2,3.8779852797754213,5.483116594015048
strict_W1,2,p90,3,1,2.272853965535795,2.272853965535795
strict_W1,2,p90,5,1,2.272853965535795,2.272853965535795
strict_W1,2,p95,1,2,5.668503602974004,7.7857847210856725
strict_W1,2,p95,3,1,3.551222484862336,3.551222484862336
strict_W1,2,p95,5,1,3.551222484862336,3.551222484862336
strict_W1,2,top3,1,2,9.81988442362598,11.298956109585635
strict_W1,2,top3,3,1,11.298956109585635,11.298956109585635
strict_W1,2,top3,5,1,11.298956109585635,11.298956109585635
strict_W1,3,p90,1,1,3.1354636808035856,3.1354636808035856
strict_W1,3,p95,1,1,5.335903064897938,5.335903064897938
strict_W1,3,top3,1,1,8.340812737666326,8.340812737666326
